"id";"word";"answer"
"1";"Andrea is a businesswoman.";"Andrea es una mujer de negocios."
"2";"Daniela is a visual artist.";"Daniela es artista visual."
"3";"We must consider the wishes of everyone involved.";"Debemos considerar los deseos de todos los involucrados."
"4";"The beginning of the book is very engaging.";"El comienzo del libro es muy atrapante."
"5";"The philosopher is still alive, he is over a hundred years old!";"El filósofo sigue vivo, ¡tiene más de cien años!"
"6";"The book includes several recipes.";"El libro incluye varias recetas."
"7";"The problem is mainly due to contamination.";"El problema se debe, principalmente, a la contaminación."
"8";"The teacher tells the student how to solve the exercise.";"El profesor le indica al alumno cómo resolver el ejercicio."
"9";"There are many foreigners in this neighborhood.";"En este barrio hay muchos extranjeros."
"10";"He is one of the most important figures in the fashion world.";"Es una de las figuras más importantes del mundo de la moda."
"11";"This is Tomás, my lawyer.";"Este es Tomás, mi abogado."
"12";"This is an extreme case.";"Este es un caso extremo."
"13";"I am waiting for very important documents.";"Estoy esperando documentos muy importantes."
"14";"I'm talking on the phone with my grandmother.";"Estoy hablando por teléfono con mi abuela."
"15";"I am preparing a dough to make pizzas.";"Estoy preparando una masa para hacer pizzas."
"16";"There is constant traffic on this street.";"Hay tráfico constante en esta calle."
"17";"There are several workspaces in the building.";"Hay varios espacios de trabajo en el edificio."
"18";"Cultural integration is essential.";"La integración cultural es fundamental."
"19";"The poorest people need protection during the winter.";"Las personas más pobres necesitan protección durante el invierno."
"20";"Material goods are not important.";"Los bienes materiales no son importantes."
"21";"I don't work on Wednesdays.";"Los miércoles no trabajo."
"22";"I like to write in horror genre.";"Me gusta escribir en género de terror."
"23";"I like Flavia's personality.";"Me gusta la personalidad de Flavia."
"24";"I am interested in industrial design.";"Me interesa el diseño industrial."
"25";"My generation doesn't care about those things.";"Mi generación no se preocupa por esas cosas."
"26";"My sister is a designer.";"Mi hermana es diseñadora."
"27";"My marriage is very happy.";"Mi matrimonio es muy feliz."
"28";"My parents pay the rent, but I pay for the expenses.";"Mis padres pagan el alquiler, pero yo pago los gastos."
"29";"My plants will die if my father forgets to water them.";"Mis plantas van a morir si mi padre se olvida de regarlas."
"30";"I need your signature on this document.";"Necesito tu firma en este documento."
"31";"No matter what they say, you are talented.";"No importa qué digan, tú eres talentoso."
"32";"I don't like the current governor.";"No me gusta el gobernador actual."
"33";"I don't want to be a burden to my parents.";"No quiero ser una carga para mis padres."
"34";"We don't have much margin for error.";"No tenemos mucho margen de error."
"35";"I can't see well without my glasses.";"No veo bien sin mis gafas."
"36";"Pedro earns one hundred pesos per hour.";"Pedro gana cien pesos por hora."
"37";"I'm a freelance journalist.";"Soy periodista independiente."
"38";"I want to introduce you to my family.";"Te quiero presentar a mi familia."
"39";"We have many plans for the next days.";"Tenemos muchos planes para los próximos días."
"40";"We have several positions to fill in the company.";"Tenemos varios puestos que cubrir en la empresa."
"41";"I have some questions to ask you.";"Tengo algunas preguntas que hacerte."
"42";"I have fifty unread emails.";"Tengo cincuenta correos sin leer."
"43";"I have a forty-day contract.";"Tengo un contrato por cuarenta días."
"44";"I have a work problem.";"Tengo un problema laboral."
"45";"Let’s go under the shade of that tree.";"Vamos a la sombra de aquel árbol."
"46";"The traffic is terrible!";"¡El tráfico está terrible!"
"47";"That book is mine!";"¡Ese libro es mío!"
"48";"Where are you going?";"¿A dónde vas?"
"49";"Where's my black sweatshirt?";"¿Dónde está mi sudadera negra?"
"50";"Can you help me open this jar?";"¿Me ayudas a abrir este frasco?"
"51";"Do you want to go for a walk?";"¿Quieres ir a caminar?"
"52";"What’s in that box?";"¿Qué hay en esa caja?"
"53";"Do you have plans for tonight?";"¿Tienes planes para esta noche?"
