"Title: The Busy Market";"El Mercado Ajetreado"
"I save money to buy fresh fruit at the market.";"Ahorro dinero para comprar fruta fresca en el mercado."
"Vendors rent small spaces along the street.";"Los vendedores rentan espacios pequeños a lo largo de la calle."
"They help customers find what they need.";"Ayudan a los clientes a encontrar lo que necesitan."
"Musicians dance a little while they play.";"Los músicos bailan tantito mientras tocan."
"We look for the stand with the best mangoes.";"Buscamos el puesto con los mejores mangos."
"The prices change every season.";"Los precios cambian cada temporada."
"We walk slowly because the market is crowded.";"Caminamos despacio porque el mercado está lleno."
"One vendor cancels his stand for the day.";"Un vendedor cancela su puesto por el día."
"Families cook snacks on small grills.";"Las familias cocinan antojitos en parrillas pequeñas."
"I buy a bag of warm tortillas before leaving.";"Compro una bolsa de tortillas calientitas antes de irme."
