"id";"word";"answer"
"1";"A musician named Carlos carries his guitar daily.";"Un músico llamado Carlos lleva su guitarra diariamente."
"2";"He sends music to students across the country.";"Él envía música a estudiantes por el país."
"3";"Does Carlos watch birds while composing music?";"¿Carlos mira pájaros mientras compone música?"
"4";"Yes, nature shows him beautiful melodies always.";"Sí, la naturaleza le muestra melodías hermosas."
"5";"He needs inspiration from the world around him.";"Necesita inspiración del mundo a su alrededor."
"6";"Does he forget important details in his compositions?";"¿Él olvida detalles importantes en sus composiciones?"
"7";"No, he forgets nothing when creating music.";"No, no olvida nada cuando crea música."
"8";"Carlos pays musicians fairly for their work.";"Carlos paga a músicos justamente por su trabajo."
"9";"He practices every single day without exception.";"Practica cada día solamente sin excepción."
"10";"Teachers ask him to demonstrate perfect technique.";"Los maestros le preguntan para demostrar técnica."
"11";"What does Carlos prepare for his big concert?";"¿Qué prepara Carlos para su gran concierto?"
"12";"He prepares five new compositions for the audience.";"Prepara cinco composiciones nuevas para la audiencia."
"13";"I carry my instrument everywhere I travel.";"Llevo mi instrumento a todos lados que viajo."
"14";"You send beautiful recordings to your loved ones.";"Tú envías grabaciones hermosas a tus seres queridos."
"15";"She watches the sunset while playing guitar.";"Ella mira el atardecer mientras toca guitarra."
"16";"We show respect through dedication to our art.";"Mostramos respeto a través de dedicación a arte."
"17";"They need encouragement to continue their studies.";"Necesitan ánimo para continuar sus estudios."
"18";"I forget melodies sometimes during busy weeks.";"Olvido melodías a veces durante semanas ocupadas."
"19";"Does he pay attention to every single note?";"¿Él presta atención a cada nota solamente?"
"20";"Yes, he practices until perfection is achieved.";"Sí, practica hasta que se logra perfección."
"21";"Students ask questions about musical composition daily.";"Los estudiantes preguntan sobre composición musical diariamente."
"22";"Carlos prepares meals while humming his latest tune.";"Carlos prepara comidas mientras tararea su melodía."
"23";"I carry emotions through every note I play.";"Llevo emociones a través de cada nota que toco."
"24";"You send messages through your beautiful music.";"Envías mensajes a través de tu música hermosa."
"25";"She watches his hands with complete fascination.";"Ella mira sus manos con fascinación completa."
"26";"We show our gratitude with standing ovations.";"Mostramos nuestra gratitud con aplausos de pie."
"27";"They need Carlos to teach them everything.";"Necesitan que Carlos les enseñe todo."
"28";"He forgets time when creating new compositions.";"Olvida el tiempo cuando crea nuevas composiciones."
"29";"Musicians pay to attend his masterclass concerts.";"Los músicos pagan para asistir a sus conciertos."
"30";"Carlos's legacy carries music into the future.";"El legado de Carlos lleva música al futuro."
