id,word,answer
101,to generate {-ar},generar
102,to shout {-ar},gritar
103,to find {-ar},hallar
104,to identify {-ar},identificar
105,to imagine {-ar},imaginar
106,to involve {-ar},implicar
107,to import {-ar},importar
108,to incorporate {-ar},incorporar
109,to indicate {-ar},indicar
110,to install {-ar},instalar
111,to integrate {-ar},integrar
112,to try {-ar},intentar
113,to interest {-ar},interesar
114,to interpret {-ar},interpretar
115,to invite {-ar},invitar
116,to launch {-ar},lanzar
117,to raise {-ar},levantar
118,to limit {-ar},limitar
119,to fill out {-ar},llenar
120,to cry {-ar},llorar
121,to achieve {-ar},lograr
122,to manifest {-ar},manifestar
123,to mark {-ar},marcar
124,to tuck in {-er},meter
125,to move {-er},mover
