"id";"word";"answer"
"1";"A young boy named Lucas breaks his bicycle.";"Un niño joven llamado Lucas rompe su bicicleta."
"2";"He fears telling his father the truth.";"Él teme decirle la verdad a su padre."
"3";"Lucas hides behind the garden shed nervously.";"Lucas se esconde detrás del cobertizo nerviosamente."
"4";"His mother surprises him with unexpected kindness.";"Su madre lo sorprende con amabilidad inesperada."
"5";"Does he owe an apology to his father?";"¿Él debe una disculpa a su padre?"
"6";"Yes, he should tell what really happened.";"Sí, él debe contar lo que realmente pasó."
"7";"His mother promises to help him explain.";"Su madre promete ayudarlo a explicar."
"8";"She puts a warm hand on his shoulder.";"Ella mete una mano cálida en su hombro."
"9";"Success depends on telling the truth soon.";"El éxito depende de contar la verdad pronto."
"10";"What happens when his father learns about it?";"¿Qué sucede cuando su padre se entera?"
"11";"His father actually protects him from blame.";"Su padre realmente lo protege de culpa."
"12";"They fear the bicycle repair cost together.";"Temen el costo de reparación juntos."
"13";"I break promises when I am dishonest.";"Rompo promesas cuando soy deshonesto."
"14";"You should tell your parents about problems.";"Tú debes contar a tus padres sobre problemas."
"15";"She hides nothing from her loved ones.";"Ella no esconde nada de sus seres queridos."
"16";"We are surprised by his father's reaction.";"Nos sorprende la reacción del padre."
"17";"They promise to fix the bicycle together.";"Prometen reparar la bicicleta juntos."
"18";"He puts the broken pieces in a box.";"Él mete los pedazos rotos en una caja."
"19";"I fear making similar mistakes again.";"Temo cometer errores similares de nuevo."
"20";"Does her honesty protect their relationship truly?";"¿Su honestidad protege su relación verdaderamente?"
"21";"Yes, trust depends on telling the truth.";"Sí, la confianza depende de contar la verdad."
"22";"What surprising thing happens at the repair shop?";"¿Qué cosa sorprendente sucede en el taller?"
"23";"The mechanic breaks the repair cost in half.";"El mecánico rompe el costo a la mitad."
"24";"Lucas learns he should not fear mistakes.";"Lucas aprende que no debe temer errores."
"25";"His father hides his own childhood failures.";"Su padre esconde sus propios fracasos infantiles."
"26";"He promises Lucas a better bicycle soon.";"Promete a Lucas una bicicleta mejor pronto."
"27";"They put their fears aside together.";"Ponen sus miedos a un lado juntos."
"28";"The family protects each other with honesty.";"La familia se protege mutuamente con honestidad."
"29";"Lucas depends on his parents for support.";"Lucas depende de sus padres para apoyo."
"30";"Everything that happens teaches him about love.";"Todo lo que sucede le enseña sobre amor."
