"Title: The Small Accident";"El Pequeño Accidente"
"I protect my phone with a strong case.";"Protejo mi teléfono con una funda resistente."
"You respond quickly when I call your name.";"Respondes rápido cuando digo tu nombre."
"He goes back a few steps to pick up his hat.";"Él retrocede unos pasos para recoger su gorra."
"She breaks her pencil during the test.";"Ella rompe su lápiz durante el examen."
"We surprise the teacher with a card.";"Sorprendemos a la maestra con una tarjeta."
"Nothing serious happens, just a small noise.";"No sucede nada grave, solo un ruidito."
"They suspend the activity for a moment.";"Ellos suspenden la actividad por un momento."
"I fear being late.";"Temo llegar tarde."
"You cough because the room is dusty.";"Toses porque el salón está polvoso."
"Later we are going to sell the extra notebooks.";"Más tarde vamos a vender los cuadernos extra."
