"id","word","answer"
"1","also / other than","además"
"2","something","algo"
"3","some [M or mixed group]","algunos"
"4","before / in the face of","ante"
"5","here","aquí"
"6","yesterday","ayer"
"7","house","casa"
"8","almost","casi"
"9","case","caso"
"10","city","ciudad"
"11","against","contra"
"12","things","cosas"
"13","which / that","cual"
"14","four","cuatro"
"15","the check / the bill","cuenta"
"16","how","cómo"
"17","has to / must","debe"
"18","to say","decir"
"19","inside / within","dentro"
"20","days","días"
"21","they [M or mixed group]","ellos"
"22","then / so","entonces"
"23","I was / he was / she was / it was","estaba"
"24","these [F]","estas"
"25","this [neutral]","esto"
"26","these","estos"
"27","they are","están"
"28","end","fin"
"29","shape","forma"
"30","in front of / front / facing","frente"
"31","they were","fueron"
"32","general","general"
"33","group","grupo"
"34","to do","hacer"
"35","to / towards","hacia"
"36","I have [aux]","he"
"37","done / fact","hecho"
"38","story / history","historia"
"39","man","hombre"
"40","today","hoy"
"41","them","les"
"42","later","luego"
"43","place","lugar"
"44","way","manera"
"45","bigger / older","mayor"
"46","half [M]","medio"
"47","better / best","mejor"
"48","while","mientras"
"49","millions","millones"
"50","same [F]","misma"
"51","moment","momento"
"52","a lot of [M]","mucho"
"53","a lot of / many","muchos"
"54","woman","mujer"
"55","national","nacional"
"56","nothing","nada"
"57","our [M]","nuestro"
"58","new [F]","nueva"
"59","new [M]","nuevo"
"60","never","nunca"
"61","others / other [F, pl]","otras"
"62","game / match","partido"
"63","past","pasado"
"64","people","personas"
"65","a little / little","poco"
"66","can / to be able to / power","poder"
"67","politics / policy","política"
"68","President","presidente"
"69","first [before noun, M]","primer"
"70","first [F]","primera"
"71","they can","pueden"
"72","well / since / then","pues"
"73","cheese","queso"
"74","who / whoever","quien"
"75","I am / he/she/it is (subjunctive)","sea"
"76","he will be / she will be / it will be","será"
"77","however","sin embargo"
"78","but","sino"
"79","system","sistema"
"80","social","social"
"81","such","tal"
"82","to have","tener"
"83","I/he/she/it had / used to have","tenía"
"84","they have","tienen"
"85","kind / type","tipo"
"86","all [F]","toda"
"87","all / everyone [F, pl]","todas"
"88","work / job","trabajo"
"89","behind","tras"
"90","some / a few [M]","unos"
"91","he goes / she goes / it goes","va"
"92","times","veces"
"93","to see","ver"
