"id";"word";"answer"
"1";"Hi, Carlos! What’s up?";"¡Hola, Carlos! ¿Qué onda?"
"2";"David! All good.";"¡David! Todo bien."
"3";"Hey, I’m looking for good tea. Where can I buy some?";"Oye, busco té bueno. ¿Dónde puedo comprar?"
"4";"At a shop by the plaza.";"En una tienda por la plaza."
"5";"Oh, thanks.";"Ah, gracias."
"6";"Yeah, it’s good.";"Sí, está buena."
"7";"Where are you going now?";"¿A dónde vas ahora?"
"8";"Downtown.";"Voy al centro."
"9";"Ah, okay.";"Ah, ok."
"10";"And you?";"¿Y tú?"
"11";"Just doing errands.";"Solo hago mandados."
"12";"If you want, I’ll send you the address.";"Bueno, si quieres, te mando la dirección."
"13";"Yes, thanks.";"Sí, gracias."
"14";"Take care.";"Cuídate."
"15";"You too.";"Tú también."
