"Title: The Friendly House";"La Casa Amistosa"
"I return home after a long walk.";"Regreso a casa después de una caminata larga."
"We revisit the idea of painting the living room.";"Volvemos a visitar la idea de pintar la sala."
"They finish cleaning the patio.";"Ellos terminan de limpiar el patio."
"He plays a short tune on his guitar.";"Él toca una melodía corta en su guitarra."
"You drink lemonade on the porch.";"Tomas limonada en el porche."
"My parents work in the garden quietly.";"Mis papás trabajan en el jardín en silencio."
"She uses a small brush for details.";"Ella usa una brochita para los detalles."
"Friends visit us with snacks.";"Amigos nos visitan con botanas."
"Only a little paint remains in the can.";"Solo queda un poco de pintura en la lata."
"Tonight we are going to finish the last wall.";"Esta noche vamos a terminar la última pared."
