"Title: The Evening Walk";"La Caminata de la Tarde"
"We look at the sky as the sun goes down.";"Miramos el cielo mientras baja el sol."
"She shows her dog the path to follow.";"Ella le muestra a su perro el camino a seguir."
"They need a short break after climbing the hill.";"Ellos necesitan un descanso después de subir la colina."
"He forgets his water bottle again.";"Él olvida su botella de agua otra vez."
"I pay for a cold drink at a small stand.";"Pago por una bebida fría en un puestecito."
"You practice slow breathing as you walk.";"Practicas respiración lenta mientras caminas."
"We ask a question about the trail distance.";"Preguntamos sobre la distancia del sendero."
"They prepare a quick snack on a bench.";"Ellos preparan un bocadillo rápido en una banca."
"Only a little daylight remains.";"Solo queda un poco de luz del día."
"Later we are going to remember this peaceful moment.";"Más tarde vamos a recordar este momento tranquilo."
