"id";"word";"answer"
"1";"Sometimes unexpected things happen.";"A veces pasan cosas inesperadas."
"2";"Now we understand the true dimension of the problem.";"Ahora comprendemos la verdadera dimensión del problema."
"3";"Cristina speaks with a lot of clarity.";"Cristina habla con mucha claridad."
"4";"When we play hide and seek, Irene always wins.";"Cuando jugamos a las escondidas, Irene siempre gana."
"5";"Civil rights must be guaranteed.";"Deben garantizarse los derechos civiles."
"6";"You must apply your knowledge to your work.";"Debes aplicar tus conocimientos a tu trabajo."
"7";"You must put the letters in the corresponding mailboxes.";"Debes colocar las cartas en los buzones correspondientes."
"8";"You must have a lot of discipline.";"Debes tener mucha disciplina."
"9";"The artist creates a new work every day.";"El artista crea una nueva obra todos los días."
"10";"The cat observes the birds.";"El gato observa los pájaros."
"11";"The boy climbs the tree.";"El niño trepa el árbol."
"12";"In this area there are only farmers.";"En esta zona solo hay campesinos."
"13";"Kites are difficult to control.";"Es difícil controlar las cometas."
"14";"That car must cost a fortune.";"Ese coche debe costar una fortuna."
"15";"This affects us all.";"Esto nos afecta a todos."
"16";"I'm trying to find a job.";"Estoy tratando de encontrar empleo."
"17";"There is evidence against the accused.";"Hay evidencia en contra del acusado."
"18";"There is a new commercial establishment in town.";"Hay un nuevo establecimiento comercial en la ciudad."
"19";"There is a demonstration in front of the town hall.";"Hay una manifestación frente al ayuntamiento."
"20";"There are several ways of seeing things.";"Hay varios modos de ver las cosas."
"21";"Julia never loses.";"Julia nunca pierde."
"22";"Juliana makes a remarkable effort to make everything perfect.";"Juliana hace un esfuerzo notable para que todo sea perfecto."
"23";"Karina underwent a true transformation.";"Karina sufrió una verdadera transformación."
"24";"The sand is hot.";"La arena está caliente."
"25";"Car circulation is very high at this time.";"La circulación de automóviles es muy alta a esta hora."
"26";"The happiness of our clients is essential.";"La felicidad de nuestros clientes es fundamental."
"27";"The country's wealth is in its mineral resources.";"La riqueza del país está en sus recursos minerales."
"28";"Native communities do not live in isolation.";"Las comunidades indígenas no viven aisladas."
"29";"Dancers show their talent to the audience.";"Los bailarines muestran su talento a la audiencia."
"30";"The neighbors signed a petition.";"Los vecinos firmaron una petición."
"31";"I like modern art.";"Me gusta el arte moderno."
"32";"I really like Mexican food.";"Me gusta mucho la comida mexicana."
"33";"My grandfather has a collection of stamps.";"Mi abuelo tiene una colección de estampas."
"34";"My mother runs a law firm.";"Mi madre dirige una firma de abogados."
"35";"My brothers are sick with the flu.";"Mis hermanos están enfermos con gripe."
"36";"Many immigrants came from the east.";"Muchos inmigrantes llegaron desde el oriente."
"37";"I don't like parties.";"No me gustan las fiestas."
"38";"I want to buy an electric guitar.";"Quiero comprar una guitarra eléctrica."
"39";"I want to try the traditional dishes.";"Quiero probar los platos tradicionales."
"40";"Ricardo is a police officer.";"Ricardo es agente de la policía."
"41";"I go out for a run every morning.";"Salgo a correr todas las mañanas."
"42";"We are four brothers; I am the third one.";"Somos cuatro hermanos; yo soy el tercero."
"43";"Susana tries to book a room.";"Susana intenta reservar una habitación."
"44";"I know Spanish numbers up to twenty.";"Sé los números en español hasta el veinte."
"45";"Consider your sister's feelings.";"Ten en consideración los sentimientos de tu hermana."
"46";"I have fond memories of Costa Rica.";"Tengo buenos recuerdos de Costa Rica."
"47";"I have the answers to your questions.";"Tengo las respuestas a tus preguntas."
"48";"I have a query for the lawyer.";"Tengo una consulta para el abogado."
"49";"I have a reservation for three nights.";"Tengo una reserva para tres noches."
"50";"We all have an obligation to pay taxes.";"Todos tenemos la obligación de pagar impuestos."
"51";"I work in the dissemination of statistics.";"Trabajo en la difusión de estadísticas."
"52";"I work in a fertility clinic.";"Trabajo en una clínica de fertilidad."
"53";"I found a clue!";"¡Encontré una pista!"
"54";"There are tacos for dinner!";"¡Hay tacos para la cena!"
"55";"Do we have enough money to buy gifts?";"¿Nos alcanza el dinero para comprar regalos?"
"56";"What do you want, sir?";"¿Qué desea, señor?"
"57";"Shall we watch a movie?";"¿Vemos una película?"
