"id";"word";"answer"
"1";"Title: The Airport Morning";"La Mañana en el Aeropuerto"
"2";"They return from a long international trip.";"Ellos regresan de un viaje internacional largo."
"3";"We revisit the same café we used last year.";"Volvemos a visitar el mismo café que usamos el año pasado."
"4";"I finish my drink before security.";"Termino mi bebida antes de seguridad."
"5";"You play music quietly through your headphones.";"Tocas música bajito con tus audífonos."
"6";"She drinks tea while she waits.";"Ella toma té mientras espera."
"7";"Airport workers work fast during the morning rush.";"Los trabajadores del aeropuerto trabajan rápido durante la hora pico."
"8";"We use digital tickets on our phones.";"Usamos boletos digitales en nuestros teléfonos."
"9";"Many families visit the information desk.";"Muchas familias visitan el módulo de información."
"10";"Only one suitcase remains on the belt.";"Solo queda una maleta en la banda."
"11";"Soon we are going to travel to our final destination.";"Pronto vamos a viajar a nuestro destino final."
