to absorb,absorber
to thank / appreciate,agradecer
to appear,aparecer
to apprehend / seize,aprehender
to learn,aprender
to sweep,barrer
to drink,beber
to yield / give way,ceder
to eat,comer
to commit,cometer
to understand,comprender
to concede / grant,conceder
to run,correr
to correspond,corresponder
to sew,coser
to grow,crecer
to believe,creer
to owe / should,deber
to depend,depender
to hide,esconder
to exceed,exceder
to intercede,interceder
to read,leer
to deserve,merecer
to put in / insert,meter
to obey,obedecer
to offend,ofender
to offer,ofrecer
to suffer,padecer
to persuade,persuader
to possess,poseer
to precede,preceder
to turn on / catch (fire),prender
to proceed,proceder
to promise,prometer
to protect,proteger
to access again / re‑enter,reacceder
to collect / pick up,recoger
to recognize,reconocer
to possess again,reposeer 
to respond,responder
to go back / retreat,retroceder
to break,romper
to surprise,sorprender
to happen,suceder
to suspend,suspender
to fear,temer
to cough,toser
to sell,vender
