"id";"word";"answer"
"1";"Title: The Museum’s Mysterious Delivery";"La Entrega Misteriosa del Museo"
"2";"A hidden crate arrives before sunrise today.";"Una caja oculta llega antes del amanecer hoy."
"3";"A clear label marks the fragile contents.";"Una etiqueta clara marca el contenido frágil."
"4";"A foreign courier waits near the loading dock.";"Un mensajero extranjero espera cerca del muelle."
"5";"A rural artifact rests inside the wooden box.";"Un artefacto rural descansa dentro de la caja de madera."
"6";"An intimate note lies folded between papers.";"Una nota íntima yace doblada entre papeles."
"7";"We are going to inspect the approximate inventory.";"Vamos a inspeccionar el inventario aproximado."
"8";"A visible crack runs along the outer frame.";"Una grieta visible corre por el marco exterior."
"9";"A secret compartment hides a second envelope.";"Un compartimento secreto esconde un segundo sobre."
"10";"A national seal decorates the upper corner.";"Un sello nacional decora la esquina superior."
"11";"A private message warns of missing documents.";"Un mensaje privado advierte sobre documentos faltantes."
"12";"We are going to secure the public exhibit.";"Vamos a asegurar la exhibición pública."
"13";"An unclear symbol appears on the inner lid.";"Un símbolo confuso aparece en la tapa interior."
"14";"A global reference number confirms authenticity.";"Un número global confirma la autenticidad."
"15";"A domestic curator studies the carved patterns.";"Un curador doméstico estudia los patrones tallados."
"16";"A regional historian identifies the rare material.";"Un historiador regional identifica el material raro."
"17";"We are going to protect the invisible markings.";"Vamos a proteger las marcas invisibles."
"18";"An urban specialist arrives with scanning tools.";"Un especialista urbano llega con herramientas de escaneo."
"19";"An obvious clue sits beneath the wrapping.";"Una pista obvia se encuentra bajo el envoltorio."
"20";"A local reporter asks about the mysterious shipment.";"Un reportero local pregunta sobre el envío misterioso."
"21";"I am going to archive the personal letter.";"Voy a archivar la carta personal."
