"id";"word";"answer"
"1";"Title: The Hospital Night Shift";"El Turno Nocturno del Hospital"
"2";"A medical alarm rings through the hallway.";"Una alarma médica suena por el pasillo."
"3";"A physical injury requires immediate attention.";"Una lesión física requiere atención inmediata."
"4";"An ethical nurse comforts the frightened patient.";"Una enfermera ética consuela al paciente asustado."
"5";"A nuclear technician checks the restricted wing.";"Un técnico nuclear revisa el ala restringida."
"6";"A spiritual volunteer offers quiet support nearby.";"Un voluntario espiritual ofrece apoyo silencioso cerca."
"7";"We are going to review the legal paperwork.";"Vamos a revisar el papeleo legal."
"8";"An immoral act disrupts the calm environment.";"Un acto inmoral interrumpe el ambiente tranquilo."
"9";"A solar lamp flickers in the waiting room.";"Una lámpara solar parpadea en la sala de espera."
"10";"A psychological evaluation begins behind closed doors.";"Una evaluación psicológica comienza a puerta cerrada."
"11";"A technical specialist repairs the broken monitor.";"Un especialista técnico repara el monitor descompuesto."
"12";"We are going to isolate the illegal substance.";"Vamos a aislar la sustancia ilegal."
"13";"A mental strain shows on the tired doctor.";"Un cansancio mental se nota en el doctor cansado."
"14";"A lunar chart decorates the pediatric wing.";"Una carta lunar decora el ala pediátrica."
"15";"A scientific researcher reviews the latest scans.";"Un investigador científico revisa las últimas imágenes."
"16";"A material sample arrives from the main lab.";"Una muestra material llega del laboratorio principal."
"17";"We are going to stabilize the emotional patient.";"Vamos a estabilizar al paciente emocional."
"18";"An atomic warning flashes across the control panel.";"Una advertencia atómica parpadea en el panel de control."
"19";"A religious symbol hangs above the quiet chapel.";"Un símbolo religioso cuelga sobre la capilla silenciosa."
"20";"An unethical decision nearly compromises the procedure.";"Una decisión antiética casi compromete el procedimiento."
"21";"I am going to complete the moral report.";"Voy a completar el informe moral."
