"to reduce";"reducir"
"to appear";"aparecer"
"to fit";"caber"
"to leave/go out";"salir"
"to attract";"atraer"
"to contract";"contraer"
"to distract";"distraer"
"to propose";"proponer"
"to suppose";"suponer"
"to compose";"componer"
"to expose";"exponer"
"to offer";"ofrecer"
"to disappear";"desaparecer"
"to grow";"crecer"
"to deserve";"merecer"
"to obey";"obedecer"
"to protect";"proteger"
"to pick up/gather";"recoger"
"to repeat";"repetir"
"to correct";"corregir"
"to turn on, to light/turn on";"encender"
"to defend";"defender"
