"id";"word";"answer"
"1";"Title: The Museum Visit";"La Visita al Museo"
"2";"They open the doors right at nine.";"Ellos abren las puertas justo a las nueve."
"3";"We admit that we love this museum.";"Admitimos que nos encanta este museo."
"4";"You attend the first tour of the day.";"Asistes al primer recorrido del día."
"5";"I share my map with two tourists.";"Comparto mi mapa con dos turistas."
"6";"He covers his head with a hat because it’s sunny.";"Él cubre su cabeza con un sombrero porque hace sol."
"7";"She turns fifteen this year.";"Ella cumple quince este año."
"8";"We decide which exhibit to see first.";"Decidimos qué exhibición ver primero."
"9";"They describe the paintings with excitement.";"Ellos describen las pinturas con emoción."
"10";"I discover a quiet room full of old letters.";"Descubro una sala tranquila llena de cartas antiguas."
"11";"Tomorrow I am going to discuss the visit with my class.";"Mañana voy a discutir la visita con mi clase."
