"id";"word";"answer"
"1";"Title: The Neighborhood Market";"El Mercado del Barrio"
"2";"We absorb the smell of fresh bread.";"Absorbemos el olor del pan fresco."
"3";"They learn the names of new fruits.";"Ellos aprenden los nombres de frutas nuevas."
"4";"Workers sweep the entrance every hour.";"Los trabajadores barren la entrada cada hora."
"5";"I drink a small cup of juice.";"Bebo un vasito de jugo."
"6";"You eat a warm tamal from a stand.";"Comes un tamal calientito de un puesto."
"7";"Vendors commit to fair prices.";"Los vendedores se comprometen a precios justos."
"8";"She understands the directions to the bakery.";"Ella comprende las indicaciones para la panadería."
"9";"Kids run between the aisles.";"Los niños corren entre los pasillos."
"10";"The prices correspond to the season.";"Los precios corresponden a la temporada."
"11";"Later we are going to sew a small bag for the fruit.";"Más tarde vamos a coser una bolsita para la fruta."
