"id","word","answer"
"1","to access / enter","acceder"
"2","to save (money)","ahorrar"
"3","to rent","alquilar"
"4","word","answer"
"5","to help","ayudar"
"6","to dance","bailar"
"7","to look for","buscar"
"8","to change","cambiar"
"9","to walk","caminar"
"10","to cancel","cancelar"
"11","to cook","cocinar"
"12","to buy","comprar"
"13","to answer","contestar"
"14","to rest","descansar"
"15","to draw","dibujar"
"16","to begin / start","empezar"
"17","to enter / go in","entrar"
"18","to send / ship","enviar"
"19","to listen","escuchar"
"20","to wait / hope","esperar"
"21","to study","estudiar"
"22","to explain","explicar"
"23","to win / earn","ganar"
"24","to speak / talk","hablar"
"25","to try / attempt","intentar"
"26","to invite","invitar"
"27","to wash","lavar"
"28","to clean","limpiar"
"29","to call","llamar"
"30","to arrive","llegar"
"31","to carry / wear / take","llevar"
"32","to send","mandar"
"33","to look at / watch","mirar"
"34","to show","mostrar"
"35","to need","necesitar"
"36","to forget","olvidar"
"37","to pay","pagar"
"38","to practice","practicar"
"39","to ask (a question)","preguntar"
"40","to prepare","preparar"
"41","to stay / remain","quedar"
"42","to remember","recordar"
"43","to return / come back","regresar"
"44","to revisit","revisitar"
"45","to finish","terminar"
"46","to play (instrument) / knock","tocar"
"47","to take / drink","tomar"
"48","to work","trabajar"
"49","to use","usar"
"50","to travel","viajar"
"51","to visit","visitar"
