"to eat";"comer"
"to drink";"beber"
"to learn";"aprender"
"to understand";"comprender"
"to respond";"responder"
"to sell";"vender"
"to run";"correr"
"to read";"leer"
"to believe";"creer"
"to sweep";"barrer"
"to break";"romper"
"to fear";"temer"
"to hide";"esconder"
"to surprise";"sorprender"
"to owe / should";"deber"
"to promise";"prometer"
"to put in / insert";"meter"
"to depend";"depender"
"to happen";"suceder"
"to protect";"proteger"
"to sew";"coser"
"to cough";"toser"
"to absorb";"absorber"
"to suspend";"suspender"
"to commit";"cometer"
"to turn on / catch (fire)";"prender"
"to go back / retreat";"retroceder"
"to proceed";"proceder"
"to correspond";"corresponder"
"to possess";"poseer"
"to exceed";"exceder"
"to offend";"ofender"
