"Title: The Friendly Visit";"La Visita Amistosa"
"They win free tickets for a local show.";"Ellos ganan boletos gratis para un show local."
"You talk with the host at the entrance.";"Hablas con el anfitrión en la entrada."
"We try to find our seats before the lights go down.";"Intentamos encontrar nuestros asientos antes de que bajen las luces."
"I invite my neighbor to sit with us.";"Invito a mi vecino a sentarse con nosotros."
"She washes her hands after eating popcorn.";"Ella se lava las manos después de comer palomitas."
"The staff clean the floor between shows.";"El personal limpia el piso entre funciones."
"They call the winners to the stage.";"Llaman a los ganadores al escenario."
"More guests arrive and fill the theater.";"Más invitados llegan y llenan el teatro."
"We carry our jackets because it gets cold inside.";"Llevamos nuestras chamarras porque se pone frío adentro."
"After the show, we are going to send a thank‑you message.";"Después del show, vamos a mandar un mensaje de agradecimiento."
