"id";"word";"answer"
"1";"Title: Evening At The Community Center";"Noche En El Centro Comunitario"
"2";"I result responsible for the art table.";" ""Resulto responsable de la mesa de arte."""
"3";"You withdraw the paints from the cabinet. [sing, formal]";" ""Retira las pinturas del gabinete."""
"4";"We are going to gather everyone for announcements.";" ""Vamos a reunir a todos para los avisos."""
"5";"They reveal the theme for tonight.";" ""Revelan el tema de esta noche."""
"6";"You go around the room greeting people. [sing, inf]";" ""Rodeas el cuarto saludando a la gente."""
"7";"I break a pencil by accident.";" ""Rompo un lápiz por accidente."""
"8";"We take out the brushes and paper.";" ""Sacamos los pinceles y el papel."""
"9";"They separate the materials by type.";" ""Separan los materiales por tipo."""
"10";"You are going to point out the rules soon. [pl]";" ""Van a señalar las reglas pronto."""
"11";"We mean to create a calm environment.";" ""Significamos crear un ambiente tranquilo."""
"12";"They locate the music speaker.";" ""Situan la bocina de música."""
"13";"I submit the attendance sheet.";" ""Someto la hoja de asistencia."""
"14";"You request more chairs for the group. [sing, inf]";" ""Solicitas más sillas para el grupo."""
"15";"We sound the bell to start.";" ""Sonamos la campana para comenzar."""
"16";"They surprise us with creative ideas.";" ""Sorprenden con ideas creativas."""
"17";"You go up the small stage to share your work. [sing, formal]";" ""Sube al pequeño escenario para compartir su trabajo."""
"18";"We suffer a bit of noise from outside.";" ""Sufrimos un poco de ruido de afuera."""
"19";"They add color to every corner.";" ""Suman color a cada rincón."""
"20";"I am going to go beyond my usual style.";" ""Voy a superar mi estilo de siempre."""
"21";"You throw away the used paper. [pl]";" ""Tiran el papel usado."""
"22";"We touch up the final details.";" ""Tocamos los detalles finales."""
"23";"They transform the room with decorations.";" ""Transforman el cuarto con decoraciones."""
"24";"You try a new technique tonight. [sing, inf]";" ""Tratas una técnica nueva esta noche."""
"25";"We locate the missing markers.";" ""Ubicamos los marcadores perdidos."""
"26";"They are going to join the photo at the end.";" ""Van a unir a la foto al final."""
