"id";"word";"answer"
"1";"Title: A Slow Afternoon at Home";"Una Tarde Tranquila en Casa"
"2";"I answer a short message from my friend.";"Contesto un mensajito de mi amigo."
"3";"We rest on the couch after a long morning.";"Descansamos en el sillón después de una mañana larga."
"4";"My sister draws small flowers in her notebook.";"Mi hermana dibuja flores pequeñas en su cuaderno."
"5";"Lunch begins when everyone arrives.";"La comida empieza cuando todos llegan."
"6";"Neighbors enter the house to say hello.";"Los vecinos entran a la casa para saludar."
"7";"I send a picture of the meal to my family.";"Mando una foto de la comida a mi familia."
"8";"We listen to soft music while we eat.";"Escuchamos música suave mientras comemos."
"9";"She waits for a call from her cousin.";"Ella espera una llamada de su prima."
"10";"They study quietly at the table.";"Ellos estudian en silencio en la mesa."
"11";"My dad explains a joke, and everyone laughs.";"Mi papá explica un chiste y todos se ríen."
