word,answer
next / following [pl],siguientes
sufficient / enough,suficiente
March,marzo
"own / of one’s own [M, pl]",propios
never,jamás
they give,dan
club,club
institute,instituto
constitution,constitución
course / class,curso
language,lenguaje
style,estilo
pink / rose,rosa
impossible,imposible
to look for / to search for,buscar
worse / worst,peor
skin,piel
up,arriba
general [pl],generales
September,septiembre
white [F],blanca
those [F],aquellas
theory,teoría
animals,animales
they did [past],hicieron
long [F],larga
lost [M],perdido
images / pictures,imágenes
patient,paciente
to get / to achieve,conseguir
maximum,máximo
November,noviembre
leader,líder
hospital,hospital
diverse [F],diversas
he returns / she returns / you return [imp],vuelve
fate / destiny,destino
around,en torno a
projects,proyectos
flowers,flores
levels,niveles
he affirmed / she affirmed [past],afirmó
he explained / she explained [past],explicó
we are,somos
terms,términos
prize,premio
third [F],tercera
simple,simple
works / jobs,trabajos
factors,factores
source / fountain,fuente
sky / heaven,cielo
both [F],ambas
"same [F, pl]",mismas
currently,actualmente
known / acquaintance [M],conocido
condition,condición
exercise / workout,ejercicio
he believes / she believes,cree
couple / pair / two,par
it happens,ocurre
you (after preposition),ti
spirit,espíritu
tongue / language,lengua
responsibility,responsabilidad
I say,digo
distance,distancia
organism,organismo
cross,cruz
evolution,evolución
really,realmente
French [M],francés
novel,novela
soul,alma
double,doble
previous [pl],anteriores
to obtain / to get,obtener
I said [past],dije
selection,selección
been able to [past participle],podido
nation,nación
gone [past participle],ido
to create,crear
reason / motif,motivo
third [M],tercer
behind,detrás
it means,significa
job / work / employment,empleo
written,escrito
apartment / department,departamento
contact,contacto
houses,casas
network / net,red
face,rostro
opportunity,oportunidad
processes,procesos
land / terrain,terreno
he gave / used to give [past],daba
streets,calles
list / ready [F],lista
national [pl] / nationals,nacionales
