word,answer
because of,a causa de
in order that / so that,a fin de que
unless,a menos que
despite,a pesar de
in spite of,a pesar de que
besides / in addition to,además
wherever,adondequiera que
in the end,al final
before [+ noun or infinitive],antes de
before [+ clause with verb],antes que
as soon as,apenas
so / this way / like this,así
therefore / so,así que
as…as / both…and,así…como
even [adverb],aun
even so / nevertheless,aun así
even though / even if,aun cuando
even if,aun si
although / even though / even if,aunque
even if [+ subjunctive],aunque
sometimes…sometimes,bien…bien
every time,cada vez que
as [comparative],como
like,como
because / since  [+ clause],como
as if [+ subjunctive],como si
provided that / as long as,con tal (de) que
when,cuando
so that / in such a way that,de forma que
so that / in such a way that,de manera que
 / in such a way that,de modo que
because of / due to,debido a
since (the moment that) [+ verb],desde que
after / afterwards / later,después
after  [+ verb],después de que [+ verb]
where,donde
during,durante
in case (that) [subjunctive],en caso de que
as soon as,en cuanto
so / then / in that case,entonces
except,excepto
except that,excepto que
finally / in the end,finalmente
until,hasta que
just as,igual que
even (adverb),incluso
then / next / after that,luego
but [literary/formal],mas
more…than,más…que
while / as long as,mientras
while,mientras que
meanwhile,mientras tanto
nor,ni
neither…nor,ni…ni
not only…but also,no solo…sino también
or,o [u before o/ho]
either…or,o…o
now…now / at times…at times,ora…ora
to / in order to [+ infinitive],para
so that / in order that [+ subjunctive],para que
but,pero
because of,por
therefore / that’s why / for that reason,por eso
finally / at last,por fin
in case / just in case,por si acaso
because,porque
first,primero
since / as [explanatory],pues
since / as (given that),puesto que
[más + adjective +] than [comparative],que
that [+ subordinate clause],que
whether…or,sea…sea
if,si
if not,si no
as long as,siempre que
whenever,siempre que
provided that,siempre y cuando
however / nevertheless,sin embargo
but (rather) / but instead,sino (que)
also,también
as soon as,tan pronto como
so [+ adjective +] that,tan…que
so much that,tanto que
whether or not,tanto si…como si
both…and,tanto…como
after,tras
once,una vez que
and,y [e before i/hi]
because,ya que
since / given that / because,ya que
now…now / sometimes…sometimes,ya…ya
