word,answer
"to be [identity, origin, permanent traits, time/date]",ser
"to be [location, temporary state, emotion, ongoing action]",estar
"to have [irregular, yo‑go verb]",tener
to go [irregular],ir
"to do [irregular, yo‑go verb]",hacer
"to make [irregular, yo‑go verb]",hacer
to want [stem‑changing: e→ie],querer
to be able to [stem‑changing: o→ue],poder
to need,necesitar
"to like [+ I.O., works like 'to be pleasing to']",gustar
to know (facts/skills) [irregular],saber
to know (people/places),conocer
"to come [irregular, stem‑changing: e→ie, yo‑go verb]",venir
"to bring [irregular, yo‑go verb]",traer
"to leave / to go out [irregular, yo‑go verb]",salir
to arrive,llegar
to take / to drink [+ D.O.],tomar
"to put [irregular, yo‑go verb]",poner
"to give [+ I.O., requires a recipient]",dar
"to say / to tell [irregular, stem‑changing: e→i, yo‑go verb, + I.O., information goes to someone]",decir
to speak,hablar
"to ask (a question) [+ I.O., ask a person, not 'a question']",preguntar
"to call (phone) [+ I.O., call a person]",llamar
to eat [+ D.O.],comer
to live,vivir
to see [irregular],ver
to buy [+ D.O.],comprar
"to play (guitar, piano) [+ D.O.]",tocar
to pay [+ D.O.],pagar
to visit (a place) [+ D.O.],visitar
to travel,viajar
"to drink (tea, milk, beer) [+ D.O.]",beber
"to shop (for clothes, etc.)",comprar
to cook [+ D.O.],cocinar
to sleep [stem‑changing: o→ue],dormir
to shower [reflexive],duchar[se]
to walk (to some place),caminar
to drive (a car),manejar
"to write (poetry, etc.) [+ D.O.]",escribir
to read (a book) [+ D.O.],leer
to understand [stem‑changing: e→ie],entender
"to hear (a sound, music) [irregular]",oír
"to text (someone) [+ I.O., message goes to a person]",textear
"to swim (in the ocean, pool)",nadar
to photograph / to take photos of [+ D.O.],fotografiar
to carry (something) [+ D.O.],llevar
to sing (a song) [+ D.O.],cantar
to program computers [+ D.O.],programar
"to wear (a coat, etc.) [+ D.O.]",llevar
to exercise,hacer ejercicio
