word;answer
There are no differences between your opinion and mine.;No hay diferencias entre tu opinión y la mía.
Your face looks familiar.;Tu rostro se me hace familiar.
He/she/it offers me his help constantly.;Mi nuevo jefe me ofrece su ayuda constantemente.
I work in the commercial area.;Trabajo en el área comercial.
I work as a professor at the university.;Trabajo como profesor en la universidad.
It is a very safe investment.;Es una inversión muy segura.
The municipal government is very efficient.;El gobierno municipal es muy eficiente.
Government officials can enter through the other door.;Los funcionarios de gobierno pueden entrar por la otra puerta.
I am responsible for the welfare of my children.;Soy responsable por el bienestar de mis hijos.
Do any of you have chewing gum?;¿Alguno de ustedes tiene un chicle?
This country has a federal government.;Este país tiene un gobierno federal.
The baby points out what he wants to eat.;El bebé señala lo que desea comer.
There is an armed conflict in the Middle East.;Hay un conflicto armado en Medio Oriente.
My joy is infinite.;Mi dicha es infinita.
The union leaders are all men.;Los dirigentes sindicales son todos hombres.
This must change.;Esto debe cambiar.
Do you know how to calculate the surface of a triangle?;¿Sabes cómo calcular la superficie de un triángulo?
My plant needs water.;Mi planta necesita agua.
Do you have something to drink?;¿Tienes algo de beber?
I am waiting for an important document.;Estoy esperando un documento importante.
We need olive oil.;Necesitamos aceite de oliva.
We have to set rules in this house.;Hay que establecer reglas en esta casa.
My aunt does not trust doctors.;Mi tía no confía en los médicos.
You are very fast, wait for me!;Eres muy rápida, ¡espérame!
Local problems also affect the rest of the country.;Los problemas locales también afectan al resto del país.
Public affairs must be transparent.;Los asuntos públicos deben ser transparentes.
Public policies are not simple.;Las políticas públicas no son sencillas.
There are two teams ready to play.;Hay dos equipos listos para jugar.
I like Latin American literature.;Me gusta la literatura latinoamericana.
Do you have faith in science?;Tengo fe en la ciencia.
There is a judicial conflict.;Hay un conflicto judicial.
Any of us can do it.;Cualquiera de nosotros puede hacerlo.
I have a lot of respect for your work.;Tengo mucho respeto por tu trabajo.
Do you want a glass of wine?;¿Quieres una copa de vino?
What names are you considering for your baby?;¿Qué nombres tienen pensados para su bebé?
What is the purpose of your visit?;¿Cuál es el propósito de tu visita?
In the present, that is not a problem.;En la actualidad, eso no es un problema.
Disclosing personal information constitutes a violation of our agreement.;Divulgar información personal constituye una violación a nuestro acuerdo.
I have a very important task for you.;Tengo una tarea muy importante para ti.
Can you reach that jar?;¿Puedes alcanzar ese frasco?
Read the pool norms.;Lee las normas de la piscina.
Are those earrings made of silver?;¿Esos aretes son de plata?
My neighbors are very kind.;Mis vecinos son muy amables.
It is an unusual phenomenon.;Es un fenómeno inusual.
I have the intention to stay to live.;Tengo la intención de quedarme a vivir.
This computer is giving me problems.;Esta computadora me está dando problemas.
There is a judicial conflict.;Hay un conflicto judicial.
I have faith in science.;Tengo fe en la ciencia.
I am very hot.;Tengo mucho calor.
There is still hope.;Aún hay esperanza.
My grandmother lives nearby.;Mi abuela vive aquí cerca.
Any of us can do it.;Cualquiera de nosotros puede hacerlo.
There are several candidates for the presidency.;Hay varios candidatos para la presidencia.
