"id","word","answer"
"1","That restaurant is very good.","Aquel restaurante es muy bueno."
"2","Here’s your change.","Aquí tienes tu cambio."
"3","Give me a second please.","Dame un segundo, por favor."
"4","I thought the ending of the movie was good.","El final de la película me pareció bueno."
"5","The adaptation process is long.","El proceso de adaptación es largo."
"6","The sound goes through the walls.","El sonido pasa a través de las paredes."
"7","In that sense, you're right.","En ese sentido, tienes razón."
"8","It is the last day of my holidays.","Es mi último día de vacaciones."
"9","It’s late, I’m going to sleep.","Es tarde, me voy a dormir."
"10","It’s a beautiful city, even when it rains.","Es una bella ciudad, incluso cuando llueve."
"11","This is Helena, our daughter.","Esta es Helena, nuestra hija."
"12","This is an awkward situation.","Esta es una situación incómoda."
"13","This is a very complex society.","Esta es una sociedad muy compleja."
"14","This country is not at war.","Este país no está en guerra."
"15","This is out of our budget.","Esto está fuera de nuestro presupuesto."
"16","I agree with you.","Estoy de acuerdo contigo."
"17","There are very interesting people in this hostel.","Hay gente muy interesante en este hostel."
"18","Education is essential for development.","La educación es fundamental para el desarrollo."
"19","My grandmother gives me food.","Mi abuela me da comida."
"20","My car is over there.","Mi automóvil está por allí."
"21","My mother is a doctor.","Mi madre es médica."
"22","My father and I are very close.","Mi padre y yo estamos muy unidos."
"23","My father and I are really good friends.","Mi padre y yo somos muy buenos amigos."
"24","My parents live in Spain.","Mis padres viven en España."
"25","Nobody knows how to get there.","Nadie sabe cómo llegar allí."
"26","Do not worry about it.","No te preocupes por ello."
"27","We can go to the cinema any day.","Podemos ir al cine cualquier día."
"28","I want to be at home.","Quiero estar en mi casa."
"29","We have a small problem.","Tenemos un pequeño problema."
"30","I have something important to tell you.","Tengo algo importante que decirte."
"31","I have the right to know.","Tengo el derecho de saberlo."
"32","I have big plans for the future.","Tengo grandes planes para el futuro."
"33","There’s dirt in my shoes.","Tengo tierra en mis zapatos."
"34","Your shoes are under the bed.","Tus zapatillas están bajo la cama."
"35","Let's walk downtown.","Vamos caminando al centro."
"36","No way!","¡De ningún modo!"
"37","It is the law of the jungle!","¡Es la ley de la selva!"
"38","Your hand is very big!","¡Tu mano es muy grande!"
"39","What’s your phone number?","¿Cuál es tu número de teléfono?"
"40","What side are you on?","¿De qué lado estás?"
"41","Is that the truth?","¿Esa es la verdad?"
"42","Is this gift for me?","¿Este regalo es para mí?"
"43","Could I borrow your charger?","¿Me prestas tu cargador?"
"44","Do you have the corkscrew?","¿Tú tienes el sacacorchos?"
"45","Are you Professor González?","¿Usted es el profesor González?"
