"id";"word";"answer"
"1";"Title: The School Project";"El Proyecto Escolar"
"2";"We write the first part of the project together.";"Escribimos la primera parte del proyecto juntos."
"3";"I print the instructions for everyone.";"Imprimo las instrucciones para todos."
"4";"You insist on using simple examples.";"Insistes en usar ejemplos simples."
"5";"They omit the long introduction.";"Ellos omiten la introducción larga."
"6";"She departs early to buy materials.";"Ella parte temprano para comprar materiales."
"7";"The teacher allows us to work in groups.";"La maestra nos permite trabajar en grupos."
"8";"He receives the list of tasks.";"Él recibe la lista de tareas."
"9";"We go up to the second floor to find a table.";"Subimos al segundo piso para encontrar una mesa."
"10";"Two teams join to finish faster.";"Dos equipos se unen para terminar más rápido."
"11";"Tomorrow we are going to live a very busy day.";"Mañana vamos a vivir un día muy ocupado."
