word,answer
"to, at",a
"throughout, during the whole of",a lo largo de
"before, in the presence of, compared to",ante
"around, about (approximate)",alrededor de
"under, below",bajo
with,con
according to,conforme a
against,contra
"of, from, about",de
inside of,dentro de
"from, since",desde
after (time),después de
during,durante
"in, on, at",en
instead of,en vez de
"between, among",entre
outside of,fuera de
"toward, towards",hacia
"until, up to, as far as",hasta
"by means of, through",mediante
"for (purpose, recipient)",para
"for (cause, means), by, through",por
"on, over, about",sobre
before (time),antes de
behind,detrás de
in front of,delante de
underneath,debajo de
"next to, beside",al lado de
far from,lejos de
"close to, near",cerca de
"about, concerning",acerca de
in spite of,a pesar de
without,sin
"after, behind",tras
"versus, against",versus
"via, by way of",vía
on behalf of,por parte de
