"Title: The Airport Morning";"La Mañana en el Aeropuerto"
"They return from a long international trip.";"Ellos regresan de un viaje internacional largo."
"We revisit the same café we used last year.";"Volvemos a visitar el mismo café que usamos el año pasado."
"I finish my drink before security.";"Termino mi bebida antes de seguridad."
"You play music quietly through your headphones.";"Tocas música bajito con tus audífonos."
"She drinks tea while she waits.";"Ella toma té mientras espera."
"Airport workers work fast during the morning rush.";"Los trabajadores del aeropuerto trabajan rápido durante la hora pico."
"We use digital tickets on our phones.";"Usamos boletos digitales en nuestros teléfonos."
"Many families visit the information desk.";"Muchas familias visitan el módulo de información."
"Only one suitcase remains on the belt.";"Solo queda una maleta en la banda."
"Soon we are going to travel to our final destination.";"Pronto vamos a viajar a nuestro destino final."
