"Title: The Office Morning";"La Mañana en la Oficina"
"I write a short email to my boss.";"Escribo un correo corto a mi jefe."
"They print the new schedule.";"Imprimen el horario nuevo."
"You insist on checking every detail.";"Insistes en revisar cada detalle."
"We omit the extra pages to save paper.";"Omitimos las páginas extra para ahorrar papel."
"He departs for a quick meeting.";"Él parte a una reunión rápida."
"The company allows flexible hours.";"La empresa permite horarios flexibles."
"She receives an important package.";"Ella recibe un paquete importante."
"I go up the stairs because the elevator is full.";"Subo las escaleras porque el elevador está lleno."
"Coworkers join us for a short break.";"Compañeros de trabajo se unen a nosotros para un descanso corto."
"Later we are going to live a calmer afternoon.";"Más tarde vamos a vivir una tarde más tranquila."
