"Hi, how are you?";"Hola, ¿cómo estás?"
"Good, thanks. And you?";"Bien, gracias. ¿Y tú?"
"Good too. I’m David.";"Bien también. Soy David."
"Nice to meet you. I’m Luis.";"Mucho gusto. Soy Luis."
"Nice to meet you.";"Mucho gusto."
"Do you live here?";"¿Vives aquí?"
"No, I live nearby.";"No, vivo cerca."
"Ah, okay.";"Ah, ok."
"Do you like this area?";"¿Te gusta esta zona?"
"Yes, a lot.";"Sí, mucho."
"Well, I’m going.";"Bueno, me voy."
"Sure. Take care.";"Claro. Que te vaya bien."
"Thanks, you too.";"Gracias, igual."
