word;answer
I think her pacifier is on the floor.;Creo que su chupete está en el piso.
Your shirt is similar to mine.;Tu camiseta es similar a la mía.
It's too windy! Let’s go inside.;¡Hay demasiado viento! Vamos adentro.
Human beings can be selfish.;Los seres humanos pueden ser egoístas.
Are you willing to get up early?;¿Estás dispuesto a levantarte temprano?
There is a sock under the bed.;Hay un calcetín debajo de la cama.
You must remember what I am going to tell you.;Debes recordar lo que te voy a decir.
I am an ordinary person.;Soy una persona común y corriente.
You must better manage your income.;Debes administrar mejor tus ingresos.
I prefer dark colors.;Prefiero los colores oscuros.
Those trees are very tall.;Esos árboles son muy altos.
Tree leaves fall in autumn.;Las hojas de los árboles se caen en otoño.
The baby’s hands are very small and delicate.;Las manos del bebé son muy pequeñas y delicadas.
See you tomorrow at the office.;Nos vemos mañana en la oficina.
Could you turn down the volume?;¿Podrías bajar el volumen?
Your parents seem very nice.;Tus padres parecen muy agradables.
We need to identify the causes of the problem.;Necesitamos identificar las causas del problema.
What is the wifi password?;¿Cuál es la clave del wifi?
We need more positive votes.;Necesitamos más votos positivos.
The sommelier serves the wine.;El sumiller sirve el vino.
I have a small debt to my sister.;Tengo una pequeña deuda con mi hermana.
Andrea has important news.;Andrea tiene noticias importantes.
Minors cannot enter this bar.;En este bar no pueden entrar menores de edad.
Dear Oscar, I hope you are well.;Querido Oscar, espero que estés bien.
Do you want some fig jam?;¿Quieres un poco de dulce de higo?
Is so much salt in the food necessary?;¿Es necesaria tanta sal en la comida?
How many apples do we have left?;¿Cuántas manzanas nos quedan?
It is a regional problem, not a national one.;Es un problema regional, no nacional.
I have to make difficult decisions.;Tengo que tomar decisiones difíciles.
My father is not feeling very well.;Mi padre no se siente muy bien.
Are you traveling together?;¿Estáis viajando juntos?
We don't know how to get to the port.;No sabemos cómo llegar al puerto.
I do not have clean clothes.;No tengo ropa limpia.
Is there a park around here?;¿Hay un parque por aquí?
Are you coming with me to do the shopping?;¿Vienes conmigo a hacer las compras?
We must follow the legal procedure.;Debemos seguir el procedimiento legal.
It's your choice.;Es tu elección.
I want to read an adventure book!;¡Quiero leer un libro de aventuras!
I am very happy for my new job.;Estoy muy feliz por mi nuevo empleo.
None of my friends want to go to the cinema.;Ninguno de mis amigos quiere ir al cine.
Next, you must whip the cream.;A continuación, debes batir la crema.
My true passion is music.;Mi verdadera pasión es la música.
What was his reaction to the news?;¿Cuál fue su reacción ante la noticia?
I am so hungry!;¡Tengo tanta hambre!
The mind is very complex.;La mente es muy compleja.
The pharmacy is open.;La farmacia está abierta.
At night, fireflies appear in the garden.;De noche, aparecen luciérnagas en el jardín.
You must improve your behavior.;Debes mejorar tu conducta.
There are certain things that I can't tell you yet.;Hay ciertas cosas que no puedo contarte aún.
Yes, I want gravy, but I want it on the side.;Sí, quiero salsa, pero la quiero aparte.
I work for a government entity.;Trabajo para una entidad gubernamental.
Crucial investigations are underway.;Hay investigaciones cruciales en proceso.
The soup temperature is perfect.;La temperatura de la sopa está perfecta.
I feel a slight headache.;Siento un ligero dolor de cabeza.
We are in direct communication with the Minister of Economy.;Estamos en comunicación directa con el Ministro de Economía.
Lorena is the company’s spokesperson.;Lorena es la portavoz de la empresa.
Hugo and Jorge are responsible parents.;Hugo y Jorge son padres responsables.
You must comply with the agreement.;Debes cumplir con el contrato.
This is a private party.;Esta es una fiesta privada.
