"id";"word";"answer"
"1";"actress";"actriz"
"2";"car";"automóvil"
"3";"low [pl]";"bajos"
"4";"bank";"banca"
"5";"white [F, pl]";"blancas"
"6";"basic [pl]";"básicos"
"7";"singing";"canto"
"8";"onion";"cebolla"
"9";"hundreds";"cientos"
"10";"collective [F]";"colectiva"
"11";"colony";"colonia"
"12";"confusion";"confusión"
"13";"he/she/it considered";"consideró"
"14";"he/she/it achieves / gets";"consigue"
"15";"crystal";"cristal"
"16";"cure / priest";"cura"
"17";"curiosity";"curiosidad"
"18";"data";"datos"
"19";"damages / damage";"daños"
"20";"backwards / to have the back to";"de espaldas"
"21";"finger";"dedo"
"22";"developed";"desarrollado"
"23";"description";"descripción"
"24";"to highlight";"destacar"
"25";"determined / certain [F, pl]";"determinadas"
"26";"directive";"directiva"
"27";"weak";"débil"
"28";"electoral [pl]";"electorales"
"29";"to eliminate / to delete";"eliminar"
"30";"excited [M]";"emocionado"
"31";"enemies";"enemigos"
"32";"essence";"esencia"
"33";"spectators";"espectadores"
"34";"to exist";"existir"
"35";"ease";"facilidad"
"36";"fame";"fama"
"37";"feminine";"femenino"
"38";"formal";"formal"
"39";"phrases";"frases"
"40";"tour";"gira"
"41";"spoken / talked";"hablado"
"42";"I/he/she/it did [subj]";"hiciera"
"43";"leaf / paper sheet";"hoja"
"44";"smoke";"humo"
"45";"identification";"identificación"
"46";"churches";"iglesias"
"47";"equality";"igualdad"
"48";"illusion / dream";"ilusión"
"49";"to prevent";"impedir"
"50";"he/she/it insisted";"insistió"
"51";"instance";"instancia"
"52";"members";"integrantes"
"53";"he/she/it tried";"intentó"
"54";"legal [F]";"jurídica"
"55";"letter";"letra"
"56";"he/she/it achieves";"logra"
"57";"bad / evil [M, pl]";"malos"
"58";"ways";"maneras"
"59";"he/she/it deserves";"merece"
"60";"mount / mountain";"monte"
"61";"shows / samples / you show";"muestras"
"62";"nose";"nariz"
"63";"necessarily";"necesariamente"
"64";"core";"núcleo"
"65";"west";"oeste"
"66";"he/she/it offered";"ofreció"
"67";"perfect";"perfecto"
"68";"profile";"perfil"
"69";"he/she/it allows [subj]";"permita"
"70";"fish";"pescado"
"71";"dish / plate";"plato"
"72";"possibly";"posiblemente"
"73";"awards";"premios"
"74";"to prepare";"preparar"
"75";"budgets";"presupuestos"
"76";"private [F, pl]";"privadas"
"77";"losses";"pérdidas"
"78";"chemistry";"química"
"79";"they make / hold";"realizan"
"80";"reduced";"reducido"
"81";"relatively";"relativamente"
"82";"religious [F]";"religiosa"
"83";"performance";"rendimiento"
"84";"reserves";"reservas"
"85";"to break";"romper"
"86";"rural";"rural"
"87";"they go out";"salen"
"88";"dry";"seco"
"89";"simple";"sencillo"
"90";"to witness";"ser testigo"
"91";"to suffer";"sufrir"
"92";"subjects";"sujetos"
"93";"temple";"templo"
"94";"witnesses";"testigos"
"95";"shot";"tiro"
"96";"to touch / to play";"tocar"
"97";"tons";"toneladas"
"98";"acidic / acid";"ácido"
"99";"ethics / ethical [F]";"ética"
"100";"opera";"ópera"
