word,answer
Do you know the address of the hotel?,¿Conoces la dirección del hotel?
I need a piece of paper and a pencil.,Necesito un papel y un lápiz.
I have a brilliant idea.,Tengo una idea brillante.
This is a special moment.,Este es un momento especial.
My ambitions are different from yours.,Mis ambiciones son diferentes de las tuyas.
Communication is the basis of a good relationship.,La comunicación es la base de una buena relación.
My parents? Both of them are dentists?,¿Mis padres? Ambos son dentistas?
Freedom is a human right.,La libertad es un derecho humano.
There are several means of transport.,Hay muchos medios de transporte.
Do you want to go fishing with me?,¿Quieres ir a pescar conmigo?
The current situation is not dangerous.,La situación actual no es peligrosa.
Population is decreasing.,La población está disminuyendo.
I must concentrate on studying.,Debo concentrarme en el estudio.
There is a service area less than a kilometer away.,Hay un área de servicios a menos de un kilómetro.
This is an awkward situation.,Esta es una situación incómoda.
That tree is very tall.,Ese árbol es muy alto.
Can you give me half an apple?,¿Me das media manzana?
"I really like pre,Columbian art.",Me gusta mucho el arte precolombino.
This landscape gives me a lot of peace.,Este paisaje me da mucha paz.
This sector of the city is very quiet.,Este sector de la ciudad es muy tranquilo.
We must take urgent action.,Debemos tomar una medida urgente.
My parents should travel more.,Mis padres deben viajar más.
Real knowledge is based on data.,El conocimiento real se basa en los datos.
Your face is red.,Tu cara está roja.
How old are you?,¿Cuál es tu edad?
I like to watch the movement of the waves.,Me gusta observar el movimiento de las olas.
That kid sings very well.,Ese niño canta muy bien.
Spanish is not that difficult.,El español no es tan difícil.
Your mother is very young.,Tu madre es muy joven.
Those trees are cherry trees.,Aquellos árboles son cerezos.
"I am Manuela Díaz, I have a reservation.","Soy Manuela Díaz, tengo una reserva."
Look at my new shoes!,¡Mira mis zapatos nuevos!
I think those are our plates.,Creo que esos son nuestros platos.
We are near the river.,Estamos cerca del río.
Education is essential for development.,La educación es fundamental para el desarrollo.
I’m in control.,Tengo el control.
Oscar and Lucila are very social.,Oscar y Lucila son muy sociales.
My boyfriend is in the military.,Mi novio es militar.
I only have ten days of vacation.,Solo tengo diez días de vacaciones.
