"word";"answer"
"my [sing]";"mi"
"my [pl]";"mis"
"My sister wants to go to Spain.";"Mi hermana quiere ir a España."
"My friends want to go to Portugal.";"Mis amigos quieren ir a Portugal."
"your [sing, inf]";"tu"
"your [pl, inf]";"tus"
"Your book is on the table.";"Tu libro está en la mesa."
"Your pencils are on the chair.";"Tus lápices están en la silla."
"his, her, your [sing, formal], their";"su"
"his, her, your [pl, formal], their";"sus"
"Peter and Linda are here.";"Pedro y Linda están aquí."
"I need his/her/their car.";"Necesito su carro."
"His car or her car?";"¿El carro de él o el carro de ella?"
"Your/his/her/their ideas are fantastic.";"Sus ideas son fantásticas."
"Whose ideas?";"¿Las ideas de quién?"
"Your ideas.";"Las ideas de Uds."
"They live in the mountains.";"Ellos viven en las montañas."
"Their house is big.";"Su casa es grande."
"She writes a lot.";"Ella escribe mucho."
"Her articles are interesting.";"Sus artículos son interesantes."
"our [sing]";"nuestro"
"our [sing, fem]";"nuestra"
"our [pl]";"nuestros"
"our [pl, fem]";"nuestras"
"Our train is coming.";"Nuestro tren viene."
"Our party is going to be fantastic.";"Nuestra fiesta va a ser fantástica."
"Our books are old.";"Nuestros libros son viejos."
"Our computers are new.";"Nuestras computadoras son nuevas."
"your [sing, formal]";"vuestro"
"your [sing, formal, fem]";"vuestra"
"your [pl, formal]";"vuestros"
"your [pl, formal, fem]";"vuestras"
"Your friend is from Spain.";"Vuestro amigo es de España."
"Your house is in Madrid.";"Vuestra casa está en Madrid."
"Are your teachers Spanish?";"¿Son españoles vuestros maestros?"
"Your friends are Spanish.";"Vuestras amigas son españolas."
"this [M]";"este"
"this [F]";"esta"
"these [M]";"estos"
"these [F]";"estas"
"that [M]";"ese"
"that [F]";"esa"
"those [M]";"esos"
"those [F]";"esas"
"that [over there, M]";"aquel"
"that [over there, F]";"aquella"
"those [over there, M]";"aquellos"
"those [over there, F]";"aquellas"


"This newspaper is interesting.";"Este periódico es interesante."
"This magazine is interesting also.";"Esta revista es interesante también."
"These men are strong.";"Estos hombres son fuertes."
"These women are strong also.";"Estas mujeres son fuertes también."
"That piano is old.";"Ese piano es viejo."
"That guitar is new.";"Esa guitarra es nueva."
"Those books are expensive.";"Esos libros son caros."
"Those pens are costly.";"Esas plumas son costosas."
"That suit [over there] is ugly.";"Aquel traje es feo."
"That blouse [over there] is prettier.";"Aquella blusa es más bonita."
"Those trees [over there] are enormous.";"Aquellos árboles son enormes."
"Those houses [over there] are small.";"Aquellas casas son pequeñas."

"this";"esto"
"that";"eso"
"that [farther away in place or time]";"aquello"
"What is this? What is that?";"¿Qué es esto? ¿Qué es eso?"
"That is not necessary.";"Aquello no es necesario."
"Spanish";"español"
"the Spanish restaurant";"el restaurante español"
"the Spanish meal";"la comida española"
"English";"inglés"
"the English man";"el hombre inglés"
"the English woman";"la mujer inglesa"
"Japanese";"japonés"
"the Japanese boy";"el muchacho japonés"
"the Japanese girl";"la muchacha japonesa"
"good";"bueno"
"This child is a good student.";"Este niño es un buen estudiante."
"His sister is a good student.";"Su hermana es una buena estudiante."
"They are good students.";"Ellos son buenos estudiantes."
"They have good teachers.";"Ellos tienen buenas maestras."
"bad";"malo"
"She has a bad dog.";"Ella tiene un mal perro."
"Her friend has a bad idea.";"Su amiga tiene una mala idea."
"They have three bad cats.";"Ellas tienen tres malos gatos."
"They are bad situations.";"Son malas situaciones."
"a lot of, much, many";"mucho"
"He doesn't have a lot of money.";"Él no tiene mucho dinero."
"He has a lot of friends.";"Tiene muchos amigos."
"They prepare a lot of food for a lot of people.";"Ellas preparan mucha comida para muchas personas."
"a little bit, a few, not much, not many";"poco"
"There is not much money in this bank and not many clients.";"Hay poco dinero en este banco y hay pocos clientes."
"Not many people live on this street, and there are few houses.";"Poca gente vive en esta calle y hay pocas casas."
"enough";"bastante, suficiente"
