word;answer
he/she/it continued / followed [imperfect];seguía
business;negocio
sexual;sexual
teaching;enseñanza
he/she/it added;agregó
lips;labios
resolution;resolución
foundation;fundación
he/she/it will do / will make;hará
he/she/it depends;depende
actor;actor
technical / technicians;técnicos
beauty;belleza
headline;titular
accomplished;logrado
victims;víctimas
details;detalles
European [M, pl];europeos
horse;caballo
strike;huelga
road;carretera
North American;norteamericano
to produce;producir
old / antique [F];antigua
alliance;alianza
physical [M];físico
to take out;sacar
advertisement / advertising;publicidad
foreseen / provided;previsto
surrounding / environment;entorno
concern;preocupación
resistance;resistencia
he/she/it died;murió
they know;saben
generally;generalmente
to sleep;dormir
individual;individuo
bodies;cuerpos
short;corto
organisms;organismos
special [pl];especiales
internet;internet
benches / banks;bancos
player;jugador
efforts;esfuerzos
benefits;beneficios
to finish;terminar
balance;equilibrio
hearing / ear;oído
reading;lectura
pieces;piezas
limits / boundaries;límites
approximately / about;aproximadamente
it opens;abre
taken [M];llevado
private [M];privado
hall / living room;salón
current;actuales
serious [pl];graves
smile;sonrisa
photo / picture;foto
perspective;perspectiva
number / figure;cifra
credit;crédito
interesting;interesante
constitutional;constitucional
to accept;aceptar
produced [M];producido
bag;bolsa
factor;factor
nights;noches
recognition;reconocimiento
youth;juventud
usual / regular;habitual
category;categoría
he/she/it requires;requiere
that he/she/it were [subjunctive];fuese
impression;impresión
to call;llamar
hard [M];duro
universal;universal
to explain;explicar
they present;presentan
realization / completion;realización
quick / fast;rápido
scientists [M];científicos
serious [M];serio
scientist [M];científico
to understand;comprender
kingdom;reino
preparation;preparación
symptoms;síntomas
recovery;recuperación
use;utilización
strong [pl];fuertes
sound;sonido
intelligence;inteligencia
conversation;conversación
he/she/it establishes;establece
if I/he/she/it had [subjunctive];hubiese
