word,answer
My brother is the director of a company,Mi hermano es director de una empresa
It can’t be true!,¡No puede ser cierto!
"In some cases, it is better to be silent","En algunos casos, es mejor estar callado"
It is a very high level restaurant,Es un restaurante de muy alto nivel
My family is very large,Mi familia es muy grande
This book is too long!,¡Este libro es demasiado largo!
Can you split that biscuit in two?,¿Puedes partir esa galleta en dos?
How long until the plane takes off?,¿Cuánto falta para que salga el avión?
I want to get to Ecuador!,¡Quiero llegar a Ecuador!
What is that thing?,¿Qué es esa cosa?
The hostel’s security is pretty good,La seguridad del hostel es bastante buena
I feel bad,Me siento mal
I have a lot of respect for Matilde,Tengo mucho respeto por Matilde
Is this real?,¿Esto es real?
I know what we can cook!,¡Ya sé qué podemos cocinar!
This singer has a phenomenal voice,Esta cantante tiene una voz fenomenal
We have to go step by step,Debemos ir paso a paso
"Sir, what time is it?","Señor, ¿qué hora es?"
I have about a thousand missed calls,Tengo como mil llamadas perdidas
Those who want pizza can grab a slice,Quienes quieran pizza pueden tomar una porción
I’m working on a new project,Estoy trabajando en un nuevo proyecto
Do you want to go to the market with me?,¿Quieres ir al mercado conmigo?
The majority of the population is bilingual,La mayoría de la población es bilingüe
Can you turn on the light?,¿Puedes encender la luz?
The problem is very clear,El problema es muy claro
We have to put this house in order,Hay que poner esta casa en orden
Do you speak Spanish?,¿Hablas español?
This cake is very good,Esta tarta está muy buena
Who wants a portion?,¿Quién quiere una porción?
That store has some delicious ice cream,Aquella tienda tiene unos helados riquísimos
There are no words to describe what I feel,No hay palabras para describir lo que siento
Those boots are very dirty,Esas botas están muy sucias
I work in a big company,Trabajo en una gran empresa
Are you there?,¿Estás ahí?
I feel like reading a book,Tengo ganas de leer un libro
My shirt is the same as yours,Mi camiseta es igual que la tuya
This is not a political issue,Este no es un asunto político
You are a very smart person,Eres una persona muy inteligente
They are my cousins,Ellas son mis primas
I think we should wait until it stops raining,Creo que deberíamos esperar a que deje de llover
I have a small problem,Tengo un pequeño problema
I love Spanish omelette,Amo la tortilla española
What are the weather conditions?,¿Cómo son las condiciones climáticas?
I don't have much physical strength,No tengo mucha fuerza física
Tuesday is my only day off,El martes es mi único día libre
Are you ready for action?,¿Están listos para la acción?
Do you think we should call the police?,¿Crees que deberíamos llamar a la policía?
Is there a supermarket in this area?,¿Hay algún supermercado en esta zona?
My mother knows everything,Mi madre sabe todo
There is an ice cream shop on this street,Sobre esta calle hay una heladería
Inside my backpack there is a bottle of water,En el interior de mi mochila hay una botella de agua
"I don't have the money, nor the time to go to the movies","No tengo dinero, ni tampoco tiempo para ir al cine"
Should we go listen to some music?,¿Escuchamos música?
I have no problem with him,No tengo ningún problema con él
"From my window, the view is very beautiful","Desde mi ventana, la vista es muy bella"
Is there a supermarket in this area?,¿Hay algún supermercado en esta zona?
Can you speak Spanish?,¿Puedes hablar en español?
Our taxi will arrive in five minutes,Nuestro taxi llegará en cinco minutos
Carlos works in soy production,Carlos trabaja en la producción de soja
