"id";"word";"answer"
"1";"Alberto was essential throughout the project.";"Alberto fue imprescindible durante todo el proyecto."
"2";"Someone left a comment on your post.";"Alguien dejó un comentario en tu publicación."
"3";"Apparently the problem is solved.";"Aparentemente, el problema está resuelto."
"4";"Each group has a particular dynamic.";"Cada grupo tiene una dinámica particular."
"5";"Every now and then a problem arises.";"Cada tanto surge algún problema."
"6";"Celina has secrets.";"Celina tiene secretos."
"7";"Buy a bottle of champagne for tonight.";"Compra una botella de champán para esta noche."
"8";"Daniel develops systems for a large company.";"Daniel desarrolla sistemas para una gran empresa."
"9";"There is an earthworm under the rock.";"Debajo de la roca hay una lombriz."
"10";"We must decide where to go to eat.";"Debemos decidir a dónde ir a comer."
"11";"You must send me the pictures of the trip.";"Debes enviarme las fotografías del viaje."
"12";"The sky is grey.";"El cielo está gris."
"13";"The car needs brake fluid.";"El coche necesita líquido de frenos."
"14";"The course has four stages.";"El curso tiene cuatro etapas."
"15";"The spectator enjoyed the theatre play.";"El espectador disfrutó la obra de teatro."
"16";"The test is tomorrow.";"El examen es mañana."
"17";"The cat is sleeping in a corner.";"El gato está durmiendo en un rincón."
"18";"The museum organized an artistic day for children.";"El museo organizó una jornada artística para niños."
"19";"The child touches all the toys.";"El niño toca todos los juguetes."
"20";"The ocean is calm.";"El océano está calmado."
"21";"Hate is not welcome in this company.";"El odio no es bienvenido en esta empresa."
"22";"The country has financial problems.";"El país tiene problemas financieros."
"23";"The painter made a portrait of the king.";"El pintor hizo un retrato del rey."
"24";"The product has a guarantee of three months.";"El producto tiene una garantía por tres meses."
"25";"The professor asked us for a comparison between the two texts.";"El profesor nos pidió una comparación entre los dos textos."
"26";"Sedentary lifestyle causes health problems.";"El sedentarismo provoca problemas en la salud."
"27";"I sent my photos to several agencies.";"Envié mis fotos a varias agencias."
"28";"You are very curious.";"Eres muy curioso."
"29";"This is an exceptional circumstance.";"Esta es una circunstancia excepcional."
"30";"We are having coffee in the gallery.";"Estamos tomando un café en la galería."
"31";"We are experiencing the highest temperatures in years.";"Estamos viviendo las temperaturas más altas en años."
"32";"This is one of the most beautiful neighborhoods in the city.";"Este es uno de los barrios más bellos de la ciudad."
"33";"They are willing to reach an agreement.";"Están dispuestos a llegar a un acuerdo."
"34";"There are many squares in the city.";"Hay muchas plazas en la ciudad."
"35";"I want to buy flour.";"Hay que comprar harina."
"36";"There is an additional scene after the credits.";"Hay una escena adicional después de los créditos."
"37";"There was consensus among the judges.";"Hubo consenso entre los jueces."
"38";"Spicy food is characteristic of this region.";"La comida picante es característica de esta región."
"39";"Environmental pollution is a serious problem.";"La contaminación ambiental es un problema serio."
"40";"The news was a real bomb.";"La noticia fue una verdadera bomba."
"41";"Prevention is cheaper than curing.";"La prevención es más barata que la cura."
"42";"The movie review was positive.";"La reseña de la película fue positiva."
"43";"Temperatures are below zero during the winter.";"Las temperaturas son inferiores a cero durante el invierno."
"44";"Market trends are clear.";"Las tendencias del mercado son claras."
"45";"The kids are playing in the park.";"Los chicos están jugando en el parque."
"46";"The kids are old enough to be home alone for a while.";"Los chicos son suficientemente grandes para quedarse solos en casa un rato."
"47";"Abel's jokes make me laugh a lot.";"Los chistes de Abel me causan mucha risa."
"48";"The children watched a movie.";"Los niños vieron una película."
"49";"The factory workers went on strike.";"Los obreros de la fábrica hicieron una huelga."
"50";"The fishermen brought seafood to the market.";"Los pescadores llevaron mariscos al mercado."
"51";"Martín is convinced that he is right.";"Martín está convencido de que tiene razón."
"52";"May is the fifth month of the year.";"Mayo es el quinto mes del año."
"53";"I like all his movies, including the first one.";"Me gustan todas sus películas, incluyendo la primera."
"54";"I feel identified with the protagonists of the book.";"Me siento identificado con los protagonistas del libro."
"55";"My mother is back in Spain.";"Mi madre está de vuelta en España."
"56";"My phone is gone.";"Mi teléfono ha desaparecido."
"57";"My friends speak English, Spanish and French.";"Mis amigos hablan inglés, español y francés."
"58";"My children are already adults.";"Mis hijos ya son adultos."
"59";"There were no injured people in the accident.";"No hubo heridos en el accidente."
"60";"Nora is German, but she speaks Spanish.";"Nora es alemana, pero habla español."
"61";"We are interested in knowing the reactions of the spectators.";"Nos interesa conocer las reacciones de los espectadores."
"62";"Our flight departs early tomorrow.";"Nuestro vuelo parte mañana temprano."
"63";"Pablo is a coach of a soccer team.";"Pablo es entrenador de un equipo de fútbol."
"64";"I can guarantee that everything will be fine.";"Puedo garantizar que todo saldrá bien."
"65";"I want to know the local customs.";"Quiero conocer las costumbres locales."
"66";"Sandra was a lady of the high society.";"Sandra era una dama de la alta sociedad."
"67";"Silvina has many responsibilities.";"Silvina tiene muchas responsabilidades."
"68";"Sofia is very accurate when she speaks.";"Sofía es muy precisa cuando habla."
"69";"I'll see you at the end of the year dance.";"Te veré en el baile de fin de año."
"70";"We have several alternatives for dinner.";"Tenemos varias alternativas para la cena."
"71";"I have many contacts in the publishing world.";"Tengo muchos contactos en el mundo editorial."
"72";"I have legal problems to stay in the country.";"Tengo problemas legales para quedarme en el país."
"73";"I have three dogs.";"Tengo tres perros."
"74";"Stay calm!";"¡Quédate tranquilo!"
"75";"Do you accept credit cards?";"¿Aceptan tarjeta de crédito?"
"76";"What do we do today?";"¿Qué hacemos hoy?"
