word,answer
I’m against bullfighting.,Estoy contra las corridas de toros.
"In this case, it’s different.","En este caso, es diferente."
What do you want to do today?,¿Qué quieres hacer hoy?
"In general, my Spanish is very good.","En general, mi español es muy bueno."
I’m a little hungry.,Tengo un poco de hambre.
These are my shoes.,Estos son mis zapatos.
"This is Rafael, my older brother.","Este es Rafael, mi hermano mayor."
Do you have a few minutes?,¿Tienes unos minutos?
I have something for you!,¡Tengo algo para ti!
They are my parents.,Ellos son mis padres.
It’s a fact!,¡Es un hecho!
It’s my first time travelling alone.,Es la primera vez que viajo sola.
I have a lot of work today.,Tengo mucho trabajo hoy.
This sandwich is for whoever wants it.,Este sandwich es para quien lo quiera.
Laura says millions of lies.,Laura dice millones de mentiras.
This is new.,Esto es nuevo.
I want a cheese sandwich.,Quiero un emparedado de queso.
Adrián is a very quiet man.,Adrián es un hombre muy callado.
My siblings are married.,Mis hermanos están casados.
Today is my birthday.,Hoy es mi cumpleaños.
I love this place!,¡Amo este lugar!
What’s the national dish?,¿Cuál es el plato nacional?
"I have to take pictures, it’s my job.","Tengo que sacar fotos, es mi trabajo."
Do you want to say something?,¿Quieres decir algo?
Some tourists are very rude.,Algunos turistas son muy maleducados.
All my friends study Psychology.,Todas mis amigas estudian Psicología.
Show must go on!,¡El show debe continuar!
I don’t understand this country’s politics.,No entiendo la política de este país.
I’m almost 28 years old.,Tengo casi veintiocho años.
This is my new backpack.,Esta es mi nueva mochila.
Your sister is a very athletic woman.,Tu hermana es una mujer muy atlética.
The store is in front of the bank.,La tienda está frente al banco.
There are things that I don’t understand.,Hay cosas que no entiendo.
It is the end of our trip.,Es el fin de nuestro viaje.
I like big cities.,Me gustan las ciudades grandes.
My social life is very active.,Mi vida social es muy activa.
This story has a happy ending.,Esta historia tiene un final feliz.
I have a lot of friends.,Tengo muchos amigos.
What kind of coffee is this?,¿Qué tipo de café es este?
I have four brothers.,Tengo cuatro hermanos.
The water bottle is inside my backpack.,La botella de agua está dentro de mi mochila.
Our father is an engineer.,Nuestro padre es ingeniero.
