id,word,answer
1,(To) where are they going?,¿Adónde van ellos?
2,alone,solo
3,Are they going to sing tonight?,¿Van ellos a cantar esta noche?
4,Are you cold? [pl],¿Tienen frío?
5,"Are you cooking that delicious recipe again? [sing, inf] {volver a + inf = to do (something) again}",¿Vuelves a cocinar esa receta deliciosa?
6,Are you going to travel to Spain?,¿Vas a viajar a España?
7,"Are you jealous? [sing, inf]",¿Tienes celos?
8,"Are you stopping eating the spicy food? [sing, inf] {dejar de + inf = to stop (doing something)}",¿Dejas de comer la comida picante?
9,"Are you thirsty? [sing, inf]",¿Tienes sed?
10,"Are you trying to clean the dirty kitchen? [sing, inf] {tratar de + inf = to try to (do something)}",¿Tratas de limpiar la cocina sucia?
11,at last,por fin
12,at the beginning,al principio
13,at the end,al final
14,At what hour is the train going to arrive?,¿A qué hora va a llegar el tren?
15,"Be careful! [sing, inf]",¡Ten cuidado!
16,before (doing something) + infinitive,antes de + infinitivo
17,broken,roto
18,Carlos has just left the office. {acabar de + inf = to have just (done something)},Carlos acaba de salir de la oficina.
19,common,común
20,"Do they try to swim in the cold water? [pl, formal] {tratar de + inf = to try to (do something)}",¿Tratan de nadar en el agua fría?
21,Do you go to the beach on Sundays?,¿Vas tú a la playa los domingos?
22,"Do you have to cook that complicated dish? [sing, inf] {tener que + inf = to have to (do something)}",¿Tienes que cocinar ese plato complicado?
23,Do you have to listen to the long lecture? [pl] {tener que + inf = to have to (do something)},¿Tenéis que escuchar la conferencia larga?
24,Do you sing that beautiful song again? [pl] {volver a + inf = to do (something) again},¿Volvéis a cantar esa canción hermosa?
25,Do you stop drinking the cold beer? [pl] {dejar de + inf = to stop (doing something)},¿Dejáis de beber la cerveza fría?
26,Do you try to run a long distance every day? [pl] {tratar de + inf = to try to (do something)},¿Tratáis de correr una distancia larga cada día?
27,Do you want to go with us?,¿Quieres ir con nosotros?
28,Does Ana try to answer the difficult question? {tratar de + inf = to try to (do something)},¿Ana trata de contestar la pregunta difícil?
29,"Does the talented team win again? [pl, formal] {volver a + inf = to do (something) again}",¿Vuelven a ganar el equipo talentoso?
30,for a little while,por un rato
31,frequently,a menudo
32,Have you just paid the expensive bill? [pl] {acabar de + inf = to have just (done something)},¿Acabáis de pagar la cuenta cara?
33,"Have you just sung that song? [sing, inf] {acabar de + inf = to have just (done something)}",¿Acabas de cantar esa canción?
34,He has been studying French for a month. {hace + time + que + present tense verb},Hace un mes que él estudia el francés.
35,He is ashamed.,Tiene vergüenza.
36,He is at fault.,Tiene la culpa.
37,He is going to cross the street.,Va a cruzar la calle.
38,He is going to enjoy the music.,Va a gozar de la música.
39,He is going to explain the lesson.,Va a explicar la lección.
40,He is going to throw the ball.,Va a tirar la pelota.
41,He is in a rage.,Tiene rabia.
42,He studies in order to be a doctor.,Él estudia para ser doctor.
43,He thinks that the lesson is easy.,Él piensa que la lección es fácil.
44,"he, she, you go/are going [sing, formal, irreg]",va
45,How long has he been studying French? {¿Cuánto tiempo hace que + present tense verb?},¿Cuánto tiempo hace que él estudia el francés?
46,How long has the girl been watching television? {¿Cuánto tiempo hace que + present tense verb?},¿Cuánto tiempo hace que la muchacha mira televisión?
47,"How long have you been living here? [sing, formal] {¿Cuánto tiempo hace que + present tense verb?}",¿Cuánto tiempo hace que Ud. vive aquí?
48,"How long have you been traveling? [pl, formal] {¿Cuánto tiempo hace que + present tense verb?}",¿Cuánto tiempo hace que Uds. viajan?
49,I am 30 years old.,Tengo treinta años.
50,I am going to accept the offer.,Voy a aceptar la oferta.
51,I am going to draw a map.,Voy a dibujar un mapa.
52,I am going to drive to work.,Voy a manejar al trabajo.
53,I am going to prepare dinner.,Voy a preparar la cena.
54,I don't understand the theme of which you speak.,No entiendo el tema de que habla.
55,I go to the bank on Wednesdays.,Voy al banco los miércoles.
56,I go/am going [irreg],voy
57,I have a headache.,Tengo dolor de cabeza.
58,I have been living here for fifteen years. {hace + time + que + present tense verb},Hace quince años que vivo aquí.
59,I have just arrived at the party. {acabar de + inf = to have just (done something)},Acabo de llegar a la fiesta.
60,I have to go to the crowded market. {tener que + inf = to have to (do something)},Tengo que ir al mercado lleno de gente.
61,I read the same fascinating book again. {volver a + inf = to do (something) again},Vuelvo a leer el mismo libro fascinante.
62,I run in order to arrive on time.,Corro para llegar a tiempo.
63,I see that the train is coming.,Veo que el tren viene.
64,I stop smoking those terrible cigarettes. {dejar de + inf = to stop (doing something)},Dejo de fumar esos cigarrillos terribles.
65,I try to read an interesting book every week. {tratar de + inf = to try to (do something)},Trato de leer un libro interesante cada semana.
66,I want to go to the beach.,Tengo ganas de ir a la playa.
67,I want to go to the supermarket.,Quiero ir al supermercado.
68,Is there a letter for us?,¿Hay una carta para nosotros?
69,it continues in this way,sigue así
70,it seems,parece
71,Joe has two books for the class.,José tiene dos libros para la clase.
72,like any (whatever) other,como cualquier otra
73,María stops dancing when she is tired. {dejar de + inf = to stop (doing something)},María deja de bailar cuando está cansada.
74,meanwhile,mientras tanto
75,medical insurance,los seguros médicos
76,Pablo and I speak again after a long silence. {volver a + inf = to do (something) again},Pablo y yo volvemos a conversar después de un largo silencio.
77,right away,en seguida
78,Roberto has to speak in a loud voice. {tener que + inf = to have to (do something)},Roberto tiene que hablar en voz alta.
79,Sarah does exercises in order to sing.,Sara hace ejercicios para cantar.
80,She dances in order to be happy.,Ella baila para estar alegre.
81,She has a cane with which to walk.,Ella tiene un bastón con que caminar.
82,She has a friend who lives in the countryside.,Ella tiene un amigo que vive en el campo.
83,She has been watching television for an hour. {hace + time + que + present tense verb},Hace una hora que ella mira televisión.
84,She is afraid of spiders.,Tiene miedo de las arañas.
85,She is envious of her sister.,Tiene envidia de su hermana.
86,She is going to arrange/fix the room.,Va a arreglar el cuarto.
87,She is going to paint the wall.,Va a pintar la pared.
88,She is going to stop at the corner.,Va a parar en la esquina.
89,She is going to study for the exam.,Ella va a estudiar para el examen.
90,She is going to use my computer.,Va a usar mi computadora.
91,She is hot.,Tiene calor.
92,She is very lucky.,Tiene mucha suerte.
93,the (female) cousin,la prima
94,the (female) relative,la pariente
95,the (male) cousin,el primo
96,the (male) relative,el pariente
97,the ankle,el tobillo
98,the appointment,la cita
99,the arm,el brazo
100,the artery,la arteria
101,the aunt,la tía
102,The baby is going to cry tonight.,El bebé va a llorar esta noche.
103,the back,la espalda
104,the beard,la barba
105,the blood,la sangre
106,the bone,el hueso
107,The book in which we write is old.,El libro en que escribimos es viejo.
108,the brain,el cerebro
109,the breasts,los senos
110,the brother,el hermano
111,the buttocks,las nalgas
112,the character,el personaje
113,the cheek,la mejilla
114,the chest,el pecho
115,The children are sleepy.,Los niños tienen sueño.
116,the chin,la barbilla
117,The concert takes place tonight.,El concierto tiene lugar esta noche.
118,the corner,el rincón
119,the daughter,la hija
120,the doctor's office,el consultorio
121,the ear,la oreja
122,the elbow,el codo
123,the eye,el ojo
124,the eyebrow,la ceja
125,the eyelash,la pestaña
126,the eyelid,el párpado
127,the face,la cara
128,the father,el padre
129,the finger,el dedo
130,the foot,el pie
131,the forehead,la frente
132,The gloves are for the winter.,Los guantes son para el invierno.
133,the granddaughter,la nieta
134,the grandfather,el abuelo
135,the grandmother,la abuela
136,the grandparents,los abuelos
137,the grandson,el nieto
138,the gums,las encías
139,the hair,el cabello
140,the hair,el pelo
141,the hand,la mano
142,the head,la cabeza
143,the heart,el corazón
144,the heel,el talón
145,the hip,la cadera
146,the husband,el esposo/el marido
147,the inner ear,el oído
148,the jaw,la quijada
149,the joint,la articulación
150,the kidney,el riñón
151,the knee,la rodilla
152,the last name/surname,el apellido
153,The lawyer has the floor.,El abogado tiene la palabra.
154,the leg,la pierna
155,the liver,el hígado
156,the lung,el pulmón
157,the majority,la mayoría
158,the mother,la madre
159,the mouth,la boca
160,the muscle,el músculo
161,the nail,la uña
162,the name,el nombre
163,the nape,la nuca
164,the neck,el cuello
165,the nephew,el sobrino
166,the niece,la sobrina
167,the nose,la nariz
168,the parents,los padres
169,the patient,el paciente
170,the phone call,la llamada
171,"The plates, which I have just bought, are green.","Los platos, que acabo de comprar, son verdes."
172,The program that I watch on Fridays is interesting.,El programa que miro los viernes es interesante.
173,The question is for María.,La pregunta es para María.
174,the relatives,los parientes
175,the ribs,las costillas
176,the schedule,el horario
177,the secretary,la secretaria
178,the shoulder,el hombro
179,the sister,la hermana
180,the skin,la piel
181,the son,el hijo
182,the spine,la columna
183,the stomach,el estómago
184,the style/fashion,la moda
185,The teacher knows that the students understand.,El maestro sabe que los estudiantes entienden.
186,the tendon,el tendón
187,the thigh,el muslo
188,the throat,la garganta
189,the thumb,el pulgar
190,the toe,el dedo del pie
191,the tongue,la lengua
192,the tonsils,las amígdalas
193,the tooth,el diente
194,the uncle,el tío
195,the veins,las venas
196,the waist,la cintura
197,the waiting room,la sala de espera
198,the watch,el reloj
199,the wife,la esposa
200,the wrist,la muñeca
201,They are going to celebrate my birthday.,Van a celebrar mi cumpleaños.
