"Hello, good afternoon.";"Hola, buenas tardes."
"Good afternoon.";"Buenas tardes."
"My name is David.";"Me llamo David."
"Nice to meet you, David. I’m Carlos.";"Mucho gusto, David. Yo soy Carlos."
"Nice to meet you.";"Mucho gusto."
"Are you from here?";"¿Es de aquí?"
"No, I’m visiting.";"No, estoy visitando."
"Oh, nice. Do you like the area?";"Ah, qué bien. ¿Le gusta la zona?"
"Yes, I like it a lot.";"Sí, me gusta mucho."
"Good.";"Qué bueno."
"Well, I have to go.";"Bueno, me tengo que ir."
"Sure. It was nice meeting you.";"Claro. Fue un gusto conocerlo."
"Same. Have a good day.";"Igualmente. Que tenga buen día."
