word,answer
I speak [hablar],hablo  
"You speak [hablar, sing, inf]",hablas  
"He, she, you speak [hablar, sing; you=formal 'usted']",habla  
We speak [hablar],hablamos  
They speak [hablar],hablan
I drink [beber],bebo  
"You drink [beber, sing, inf]",bebes  
"He, she, you drink [beber, sing; you=formal 'usted']",bebe  
We drink [beber],bebemos  
They drink [beber],beben
I live [vivir],vivo  
"You live [vivir, sing, inf]",vives  
"He, she, you live [vivir, sing; you=formal 'usted']",vive  
We live [vivir],vivimos  
They live [vivir],viven
