word,answer
more / less,más / menos
open / closed,abierto / cerrado
inside / outside,adentro / afuera
tall [high] / short [low],alto / bajo
before / after,antes / después
here / there,aquí / allá
up / down,arriba / abajo
cheap / expensive,barato / caro
white / black,blanco / negro
pretty / ugly,bonito / feo
good / bad,bueno / malo
hot / cold,caliente / frío
"calm [tranquil] / angry [irritated, upset]",calmado [tranquilo] / enojado
"capable / incapable [skills, tasks, ability]",capaz / incapaz
near / far,cerca / lejos
"clear / confusing [for explanations, instructions, ideas]",claro / confuso
light [bright] / dark,claro / oscuro
right / wrong,correcto / incorrecto
in front / behind,delante / detrás
skinny / fat,delgado / gordo
fun [amusing] / serious,divertido / serio
sweet / salty,dulce / salado
hard / soft,duro / suave
polite / rude,educado / grosero
"on / off [lights, devices, etc.]",encendido / apagado
energetic / lazy,enérgico / flojo
to enter / to exit [V],entrar / salir
outgoing / shy,extrovertido / tímido
easy / difficult,fácil / difícil
happy / angry [current/momentary mood],feliz / enojado
"happy / sad [overall emotional state, mood]",feliz / triste
"strong / weak [physical strength, power]",fuerte / débil
"loud [strong] / gentle [mild] [force, intensity – not physical strength]",fuerte / suave
large / small,grande / pequeño [chico = less formal]
thick / thin,grueso / delgado
hungry / not hungry,hambriento / satisfecho
interested / bored,interesado / aburrido
"young / older / old [for people, animals]",joven / major / viejo
long / short,largo / corto
light / heavy,ligero / pesado
clean / dirty,limpio / sucio
older / younger,mayor / menor
better / worse,mejor / peor
wet / dry,mojado / seco
many / few,mucho / poco
"nervous [anxious, tense] / relaxed",nervioso / tranquilo
new / old [for objects],nuevo / viejo
busy / free,ocupado / libre
tidy / messy,ordenado / desordenado
allowed [permitted] / prohibited [forbidden],permitido / prohibido
possible / impossible,posible / imposible
first / last,primero / último
fast / slow,rápido / lento
rich / poor,rico / pobre
safe / dangerous,seguro / peligroso
always / sometimes / never,siempre / a veces / nunca
sober / drunk,sobrio / borracho
to go up / to go down [V],subir / bajar
enough [sufficient] / not enough [insufficient],suficiente / insuficiente
early / late,temprano / tarde
empty / full [state of a container or stomach],vacío / lleno
fearless / afraid,valiente / miedoso
true / false,verdadero / falso
alive / dead,vivo / muerto
