word,answer
I owe [deber],debo
"You owe [deber, sing, inf]",debes
"He, she, you owe [deber, sing; you=formal 'usted']",debe
We owe [deber],debemos
They owe [deber],deben
I own [poseer],poseo
"You own [poseer, sing, inf]",posees
"He, she, you own [poseer, sing; you=formal 'usted']",posee
We own [poseer],poseemos
They own [poseer],poseen
I understand [comprender],comprendo
"You understand [comprender, sing, inf]",comprendes
"He, she, you understand [comprender, sing; you=formal 'usted']",comprende
We understand [comprender],comprendemos
They understand [comprender],comprenden
