"id";"word";"answer"
"1";"Title: Afternoon At The Community Event";"Tarde En El Evento Comunitario"
"2";"I develop a small activity for the kids.";" ""Desarrollo una actividad pequeña para los niños."""
"3";"You create colorful signs for the tables. [pl]";" ""Crean letreros coloridos para las mesas."""
"4";"We decide where to place the decorations.";" ""Decidimos dónde colocar las decoraciones."""
"5";"They consider using more chairs.";" ""Consideran usar más sillas."""
"6";"I affect the schedule by moving one game.";" ""Afecto el horario al mover un juego."""
"7";"You accept the new plan. [sing, inf]";" ""Aceptas el nuevo plan."""
"8";"We claim everything is ready.";" ""Afirmamos que todo está listo."""
"9";"They add balloons to the entrance.";" ""Agregan globos en la entrada."""
"10";"You increase the music volume a little. [sing, formal]";" ""Aumenta un poco el volumen de la música."""
"11";"We advance with the setup quickly.";" ""Avanzamos rápido con la preparación."""
"12";"I warn the group about the rain.";" ""Aviso al grupo sobre la lluvia."""
"13";"They download the playlist for the event.";" ""Bajan la lista de reproducción para el evento."""
"14";"You base your decorations on last year’s theme. [pl]";" ""Basan sus decoraciones en el tema del año pasado."""
"15";"We cause a small delay by moving tables.";" ""Causamos un pequeño retraso al mover mesas."""
"16";"They celebrate when everything looks nice.";" ""Celebran cuando todo se ve bonito."""
"17";"I quote a line from the welcome speech.";" ""Cito una línea del discurso de bienvenida."""
"18";"You place the snacks on the main table. [sing, inf]";" ""Colocas las botanas en la mesa principal."""
"19";"We comment on how good the setup looks.";" ""Comentamos lo bien que se ve todo."""
"20";"They confirm the arrival of the volunteers.";" ""Confirman la llegada de los voluntarios."""
"21";"You answer the coordinator’s message. [sing, formal]";" ""Contesta el mensaje del coordinador."""
"22";"I continue organizing the materials.";" ""Continúo organizando los materiales."""
"23";"We check the sound system.";" ""Controlamos el sistema de sonido."""
"24";"They run around helping everyone.";" ""Corren por todos lados ayudando a todos."""
"25";"You correspond with the sponsor about details. [pl]";" ""Corresponden con el patrocinador sobre detalles."""
"26";"I am going to add more chairs soon.";" ""Voy a agregar más sillas pronto."""
"27";"They are going to place signs outside.";" ""Van a colocar letreros afuera."""
"28";"We are going to celebrate after the event.";" ""Vamos a celebrar después del evento."""
