"Title: The Afternoon Rehearsal Breakdown";"El Colapso del Ensayo Vespertino"
"A stressed actor forgets his opening line.";"Un actor estresado olvida su línea inicial."
"A calm director signals for another attempt.";"Un director sereno señala otro intento."
"An exhausted dancer collapses onto the mat.";"Una bailarina agotada cae sobre la colchoneta."
"A hopeful singer hums softly backstage.";"Un cantante esperanzado tararea suavemente entre bastidores."
"A furious stagehand slams the heavy door.";"Un tramoyista furioso azota la puerta pesada."
"We are going to energize the sleepy cast.";"Vamos a energizar al elenco somnoliento."
"A relaxed violinist adjusts her shoulder rest.";"Una violinista relajada ajusta su soporte de hombro."
"An annoyed drummer taps impatiently on metal.";"Un baterista molesto golpea impaciente el metal."
"A proud coach praises the improved timing.";"Un entrenador orgulloso elogia el tiempo mejorado."
"A tense moment freezes the entire ensemble.";"Un momento tenso congela a todo el conjunto."
"We are going to reassure the embarrassed newcomer.";"Vamos a tranquilizar al recién llegado avergonzado."
"An alert assistant checks the lighting cues.";"Un asistente alerta revisa las señales de iluminación."
"A hopeful melody rises from the piano.";"Una melodía esperanzada surge del piano."
"A bothered violinist adjusts her slipping bow.";"Una violinista fastidiada ajusta su arco resbaloso."
"A sleepy technician leans against the curtain.";"Un técnico somnoliento se recarga en la cortina."
"We are going to relax the stressed performers.";"Vamos a relajar a los artistas estresados."
"An optimistic note brightens the rehearsal mood.";"Una nota optimista ilumina el ambiente del ensayo."
"An offended actor storms off the stage.";"Un actor ofendido sale furioso del escenario."
"A rested singer returns with renewed energy.";"Un cantante descansado regresa con energía renovada."
"I am going to support the hopeless dancer.";"Voy a apoyar a la bailarina desesperada."
