"Title: The Office Budget Breakdown";"El Desglose del Presupuesto de Oficina"
"A precise report lands on my desk.";"Un reporte preciso llega a mi escritorio."
"An arrogant manager dismisses the early concerns.";"Un gerente arrogante descarta las preocupaciones iniciales."
"A fair accountant reviews the monthly expenses.";"Un contador justo revisa los gastos mensuales."
"A stingy supervisor questions every small purchase.";"Un supervisor tacaño cuestiona cada compra pequeña."
"A generous coworker offers to cover the snacks.";"Un compañero generoso ofrece cubrir los bocadillos."
"We are going to correct the imprecise totals.";"Vamos a corregir los totales imprecisos."
"A vain executive admires his polished reflection.";"Un ejecutivo vanidoso admira su reflejo pulido."
"A humble intern organizes the scattered receipts.";"Un interno humilde organiza los recibos dispersos."
"An unfair accusation sparks a tense argument.";"Una acusación injusta provoca una discusión tensa."
"A methodical analyst recalculates the entire sheet.";"Un analista metódico recalcula toda la hoja."
"We are going to reorganize the disorganized folders.";"Vamos a reorganizar las carpetas desorganizadas."
"A selfish employee hides the missing invoice.";"Un empleado egoísta esconde la factura faltante."
"A proud assistant presents the corrected summary.";"Un asistente orgulloso presenta el resumen corregido."
"An ambitious director proposes a new strategy.";"Un director ambicioso propone una nueva estrategia."
"A chaotic stack of papers falls loudly.";"Una pila caótica de papeles cae ruidosamente."
"We are going to verify the exact figures.";"Vamos a verificar las cifras exactas."
"An unambitious clerk avoids the difficult tasks.";"Un empleado poco ambicioso evita las tareas difíciles."
"An organized team finalizes the annual budget.";"Un equipo organizado finaliza el presupuesto anual."
"A dishonest claim complicates the final approval.";"Una afirmación deshonesta complica la aprobación final."
"I am going to file the honest report.";"Voy a archivar el reporte honesto."
