"id";"word";"answer"
"1";"Title: The Debate That Went Off Track";"El Debate Que Se Desvió"
"2";"A foolish comment sparks unexpected laughter everywhere.";"Un comentario necio provoca risas inesperadas por todas partes."
"3";"A professional moderator restores order with patience.";"Un moderador profesional restaura el orden con paciencia."
"4";"A smart student presents a clear argument.";"Un estudiante listo presenta un argumento claro."
"5";"An irresponsible teammate interrupts at the wrong moment.";"Un compañero irresponsable interrumpe en el momento equivocado."
"6";"A wise participant reframes the entire discussion.";"Un participante sabio replantea toda la discusión."
"7";"We are going to encourage the inexperienced speakers.";"Vamos a animar a los oradores inexpertos."
"8";"A talented debater counters with strong evidence.";"Un debatiente talentoso responde con evidencia sólida."
"9";"An ignorant remark derails the conversation briefly.";"Un comentario ignorante descarrila la conversación brevemente."
"10";"A gifted thinker proposes a surprising solution.";"Un pensador dotado propone una solución sorprendente."
"11";"A responsible leader redirects the heated exchange.";"Un líder responsable redirige el intercambio acalorado."
"12";"We are going to support the unskilled members.";"Vamos a apoyar a los miembros inhábiles."
"13";"An intelligent rebuttal shifts the entire mood.";"Una réplica inteligente cambia todo el ambiente."
"14";"An honest admission softens the rising tension.";"Una admisión honesta suaviza la tensión creciente."
"15";"A stupid interruption frustrates the patient audience.";"Una interrupción tonta frustra al público paciente."
"16";"A skilled presenter clarifies the confusing point.";"Un presentador hábil aclara el punto confuso."
"17";"We are going to revise the illogical outline.";"Vamos a revisar el esquema ilógico."
"18";"An amateur volunteer hands out fresh notes.";"Un voluntario aficionado reparte notas nuevas."
"19";"An expert judge evaluates each closing statement.";"Un juez experto evalúa cada declaración final."
"20";"A novice speaker gathers courage for the finale.";"Un orador novato reúne valor para el final."
"21";"I am going to conclude the productive session.";"Voy a concluir la sesión productiva."
