"Title: Afternoon At The Community Center";"Tarde En El Centro Comunitario"
"I cut fabric for the decorations."; "Corto tela para las decoraciones."
"You cross the hallway to get markers. [pl]"; "Cruzan el pasillo para agarrar marcadores."
"We cover the tables with bright cloths."; "Cubrimos las mesas con manteles brillantes."
"They dedicate the afternoon to preparing the event."; "Dedican la tarde a preparar el evento."
"I define the roles for each volunteer."; "Defino los roles para cada voluntario."
"You leave the finished posters on the counter. [sing, inf]"; "Dejas los carteles terminados en el mostrador."
"We depend on everyone arriving on time."; "Dependemos de que todos lleguen a tiempo."
"They describe the plan to the new helpers."; "Describen el plan a los nuevos ayudantes."
"You discover a missing box of supplies. [sing, formal]"; "Descubre una caja de materiales que falta."
"We determine the order of the activities."; "Determinamos el orden de las actividades."
"They cast out old decorations we don’t need."; "Echan decoraciones viejas que no necesitamos."
"I elaborate a simple welcome sign."; "Elaboro un letrero de bienvenida sencillo."
"You use the tape to hang the banner. [pl]"; "Emplean la cinta para colgar la manta."
"We confront a small issue with the lights."; "Enfrentamos un pequeño problema con las luces."
"They show the new layout to the coordinator."; "Enseñan el nuevo acomodo al coordinador."
"You avoid placing tables near the door. [sing, inf]"; "Evitas poner mesas cerca de la puerta."
"I exist on the list of volunteers."; "Existo en la lista de voluntarios."
"We express excitement for the event."; "Expresamos emoción por el evento."
"They skip one decoration because of time."; "Faltan a una decoración por falta de tiempo."
"You post the schedule on the main board. [sing, formal]"; "Fija el horario en el tablero principal."
"We sign the attendance sheet."; "Firmamos la hoja de asistencia."
"They form small groups to help."; "Forman grupos pequeños para ayudar."
"You work well with the sound system. [pl]"; "Funcionan bien con el sistema de sonido."
"I win a small thank‑you gift."; "Gano un pequeño regalo de agradecimiento."
"We guarantee everything will be ready."; "Garantizamos que todo estará listo."
"They are going to describe the event to visitors."; "Van a describir el evento a los visitantes."
"You are going to cut more fabric soon. [sing, inf]"; "Vas a cortar más tela pronto."
"We are going to celebrate after the event."; "Vamos a celebrar después del evento."
