"My name is Carlos.";"Me llamo Carlos."
"Every day, I enter the piano room.";"Cada día, entro a la sala de piano."
"I love to practice piano.";"Me encanta practicar piano."
"My favorite composers are Bach and Prokofiev.";"Mis compositores favoritos son Bach y Prokofiev."
"My teacher sends music to me every month.";"Mi maestra me envía música cada mes."
"My friend Mario saves his money to buy a piano too.";"Mi amigo Mario ahorra su dinero para comprar un piano también."
"He rents an old piano now.";"Él alquila un piano viejo ahora."
"His brother helps him to pay for the piano.";"Su hermano lo ayuda a pagar por el piano."
"My small brother likes to dance when I play.";"A mi hermano pequeño le gusta bailar cuando toco."
"My mother looks for him all the time.";"Mi mamá lo busca todo el tiempo."
"Next year, my father wants to change his job.";"El próximo año, mi papá quiere cambiar su trabajo."
"He walks to work but it is very far.";"Él camina al trabajo pero está muy lejos."
"I take piano lessons every week, but I cancel them soon.";"Tomo lecciones de piano cada semana, pero las cancelo pronto."
"My mother goes to the market every day to buy food.";"Mi mamá va al mercado cada día para comprar comida."
"She cooks delicious food every night for all of us.";"Ella cocina comida deliciosa cada noche para todos nosotros."
"My father asks questions about my day.";"Mi papá me pregunta sobre mi día."
"I answer him and I tell him about my music.";"Le contesto y le cuento sobre mi música."
"Then my mother and father rest for an hour.";"Luego mi mamá y mi papá descansan por una hora."
"I begin to practice again, and my sister enters the room.";"Empiezo a practicar de nuevo, y mi hermana entra a la sala."
"When I start my piano lesson, my teacher listens to the music.";"Cuando empiezo mi lección de piano, mi maestra escucha la música."
"She hopes that I play correctly.";"Ella espera que toque correctamente."
"She explains that good students study every day.";"Ella explica que los buenos estudiantes estudian cada día."
"I can win a music award if I practice daily.";"Puedo ganar un premio de música si practico diariamente."
"She talks to me and tells me to try.";"Ella me habla y me dice que intente."
"After my lesson, I wash my hands and clean my face.";"Después de mi lección, me lavo las manos y me limpio la cara."
"She calls me to have some hot black tea with her.";"Ella me llama para tomar un poco de té negro caliente con ella."
"I arrive at the table in ten minutes.";"Llego a la mesa en diez minutos."
"I carry all my music books to the table with me.";"Llevo todos mis libros de música a la mesa conmigo."
"Her friend sends new music to her every year.";"Su amiga le envía música nueva cada año."
"I look at it and I show it to my mother.";"La miro y se la muestro a mi mamá."
"I need to practice a lot more.";"Necesito practicar mucho más."
"I forget too many things about music if I do not practice.";"Olvido demasiadas cosas sobre música si no practico."
"My parents pay a lot of money for my lessons.";"Mis papás pagan mucho dinero por mis lecciones."
"Therefore, I practice a lot.";"Por lo tanto, practico mucho."
"My brother asks if he can play piano also.";"Mi hermano pregunta si puede tocar piano también."
"He prepares to play some easy music for me.";"Él se prepara para tocar música fácil para mí."
"I stay in the room while he plays.";"Me quedo en la sala mientras él toca."
"I remember that he plays well.";"Recuerdo que él toca bien."
"I return to my teacher after one week.";"Regreso a mi maestra después de una semana."
"I finish the lesson quickly, so I play another song for her.";"Termino la lección rápidamente, así que toco otra canción para ella."
"Then I drink more hot tea with my teacher.";"Luego tomo más té caliente con mi maestra."
"She works a lot every day.";"Ella trabaja mucho cada día."
"She uses a metronome to teach her students.";"Ella usa un metrónomo para enseñar a sus estudiantes."
"She also travels to music concerts.";"Ella también viaja a conciertos de música."
"Many friends visit her on the weekends.";"Muchos amigos la visitan los fines de semana."
