"Title: The Small Art Fair";"La Pequeña Feria de Arte"
"We answer questions from visitors at the art fair.";"Respondemos preguntas de los visitantes en la feria de arte."
"Artists rest under the shade because the sun is strong.";"Los artistas descansan bajo la sombra porque el sol está fuerte."
"A young girl draws a tiny house with bright colors.";"Una niña dibuja una casita con colores brillantes."
"The fair begins early in the morning.";"La feria empieza temprano en la mañana."
"People enter the tents to see the paintings.";"La gente entra a las carpas para ver las pinturas."
"We send photos to friends who couldn’t come.";"Mandamos fotos a amigos que no pudieron venir."
"Musicians listen to each other to stay in rhythm.";"Los músicos se escuchan entre ellos para mantener el ritmo."
"I wait for the music to start again.";"Espero a que la música empiece otra vez."
"They study the map of the fair to find every booth.";"Ellos estudian el mapa de la feria para encontrar cada puesto."
"A volunteer explains where the food area is.";"Un voluntario explica dónde está la zona de comida."
