"English";"Spanish"
"I listen to each student very carefully today.";"Escucho a cada estudiante muy cuidadosamente hoy."
"Do you listen to the correct pronunciation? [sing, inf]";"¿Escuchas la pronunciación correcta?"
"She listens but speaks with a nervous voice.";"Ella escucha pero habla con una voz nerviosa."
"I wait for Rosa and Miguel to arrive.";"Espero a Rosa y a Miguel."
"Are you waiting for him, or start now? [sing, inf]";"¿Esperas a él, o empezamos ahora?"
"We wait together before the class begins.";"Esperamos juntos antes de que empiece la clase."
"I study their faces to understand confusion.";"Estudio sus caras para entender la confusión."
"You study the grammar rules much harder. [sing, inf]";"Estudias las reglas de gramática más duramente."
"Miguel studies more consistently than anyone else.";"Miguel estudia más consistentemente que nadie."
"I explain the conversation activity very clearly.";"Explico la actividad de conversación muy claramente."
"Does Rosa explain her answer correctly today?";"¿Explica Rosa su respuesta correctamente hoy?"
"You explain things better than the textbook. [sing, inf]";"Explicas las cosas mejor que el libro."
"I try to make the class entertaining.";"Intento hacer la clase entretenida."
"Do you try to speak only English here? [sing, inf]";"¿Intentas hablar sólo inglés aquí?"
"Ana tries her best but sometimes hesitates.";"Ana intenta su mejor pero a veces vacila."
"I win their attention with an interesting game.";"Gano su atención con un juego interesante."
"Does Francisco win any small prizes ever? [sing, formal]";"¿Gana usted algún premio pequeño alguna vez?"
"We win confidence from practicing together daily.";"Ganamos confianza de practicar juntos diariamente."
"I speak about my recent travels in Spain.";"Hablo sobre mis viajes recientes en España."
"You speak now with much better fluency. [sing, inf]";"Hablas ahora con mucha mejor fluidez."
"She speaks more English than at the beginning.";"Ella habla más inglés que al principio."
"I need more vocabulary for very advanced topics.";"Necesito más vocabulario para temas muy avanzados."
"Do you need a dictionary or translation help? [sing, inf]";"¿Necesitas un diccionario o ayuda de traducción?"
"We need to practice pronunciation much more regularly.";"Necesitamos practicar la pronunciación mucho más regularmente."
"I look at my notes during every lesson.";"Miro mis notas durante cada lección."
"You look very concentrated on each individual word. [sing, inf]";"Miras muy concentrado en cada palabra."
"Does he look confused by the conjugations? [sing, formal]";"¿Mira usted confundido por las conjugaciones?"
"I show them how to pronounce new words.";"Les muestro cómo pronunciar las palabras nuevas."
"Do you show your homework to anyone else? [sing, inf]";"¿Muestras tu tarea a alguien más?"
"She shows proper accent on every single syllable.";"Ella muestra el acento propio en cada sílaba."
"I call Rosa before each conversation class here.";"Llamo a Rosa antes de cada clase aquí."
"You call me with questions about the homework. [sing, inf]";"Me llamas con preguntas sobre la tarea."
"Does Miguel call everyone to remind them?";"¿Llama Miguel a todos para recordarles?"
"I arrive here every Monday with great enthusiasm.";"Llego aquí cada lunes con gran entusiasmo."
"Do you arrive early or exactly on time? [sing, inf]";"¿Llegas temprano o exactamente a tiempo?"
"We arrive together and start class immediately now.";"Llegamos juntos y empezamos la clase inmediatamente."
"I carry my heavy dictionary and notebook daily.";"Llevo mi diccionario pesado y cuaderno diariamente."
"You carry too many books to class here. [sing, inf]";"Llevas demasiados libros a la clase aquí."
"She carries her laptop for vocabulary research purposes.";"Ella lleva su laptop para investigación de vocabulario."
"I wash my hands before the coffee break.";"Me lavo las manos antes del descanso."
"Do you wash your cup after you drink? [sing, inf]";"¿Lavas tu taza después de beber?"
"We wash the dishes together right after class.";"Lavamos los platos juntos inmediatamente después de la clase."
"I clean my desk before leaving the school.";"Limpio mi escritorio antes de irme de la escuela."
"You clean up the table extremely well today. [sing, inf]";"Limpias muy bien la mesa hoy."
"We clean the board and erase everything completely.";"Limpiamos el pizarrón y borramos todo completamente."
"I send emails with homework assignments every week.";"Mando correos con tareas asignadas cada semana."
"Do you send messages to the group chat? [sing, inf]";"¿Mandas mensajes al grupo de chat?"
"She sends reminders about next week's class already.";"Ella manda recordatorios sobre la clase próxima."
"I invite Rosa to join our small group.";"Invito a Rosa a unirse a nuestro grupo."
"Do you invite your friends to participate here? [sing, inf]";"¿Invitas a tus amigos a participar aquí?"
"We invite anyone interested in speaking English together.";"Invitamos a cualquiera interesado en hablar inglés."
