"Title: Morning At The Tech Workshop";"Mañana En El Taller Tecnológico"
"I develop a simple idea for the project."; "Desarrollo una idea sencilla para el proyecto."
"You create a small folder for the files. [sing, inf]"; "Creas una carpetita para los archivos."
"We decide the order of the tasks."; "Decidimos el orden de las tareas."
"They consider different options for the design."; "Consideran diferentes opciones para el diseño."
"I affect the layout by moving one button."; "Afecto el diseño al mover un botón."
"You accept the new instructions. [sing, formal]"; "Acepta las nuevas instrucciones."
"We claim that the plan is clear."; "Afirmamos que el plan está claro."
"They add more details to the document."; "Agregan más detalles al documento."
"You increase the size of the image. [pl]"; "Aumentan el tamaño de la imagen."
"We advance slowly but steadily."; "Avanzamos despacio pero con constancia."
"I warn the group about a small error."; "Aviso al grupo sobre un pequeño error."
"They download the updated version."; "Bajan la versión actualizada."
"You base your notes on the example. [sing, inf]"; "Basas tus notas en el ejemplo."
"We cause a change by updating the file."; "Causamos un cambio al actualizar el archivo."
"They celebrate the progress so far."; "Celebran el progreso hasta ahora."
"I quote the main idea from the guide."; "Cito la idea principal de la guía."
"You place the icons in the correct spot. [sing, formal]"; "Coloca los íconos en el lugar correcto."
"We comment on the new layout."; "Comentamos sobre el nuevo diseño."
"They confirm the final version."; "Confirman la versión final."
"You answer the last question. [pl]"; "Contestan la última pregunta."
"I continue with the next section."; "Continúo con la siguiente sección."
"We check the file for mistakes."; "Controlamos el archivo para ver errores."
"They run a quick test on the app."; "Corren una prueba rápida en la app."
"You correspond with the support team. [sing, inf]"; "Correspondes con el equipo de soporte."
"I am going to create a backup later."; "Voy a crear un respaldo más tarde."
"They are going to download the final file."; "Van a bajar el archivo final."
"We are going to celebrate when we finish."; "Vamos a celebrar cuando terminemos."
