How do I get to ___,¿Cómo llego a ___?
How long will it take to walk there?,¿Cuánto tiempo tarda en caminar hasta allá?
Where is ___,¿Dónde está ___?
Is this the way to ___,¿Es por aquí para ir a ___?
Is it far?,¿Está lejos?
Can you tell me where ___ is,¿Me puede decir dónde está ___?
How far is ___,¿Qué tan lejos está ___?
How far,¿Qué tan lejos?
forward,adelante
next to,al lado de
there,allá
here,aquí
avenue,avenida
bank,banco
sidewalk,banqueta
neighborhood,barrio
library,biblioteca
street,calle
walk,camine
Walk forward and cross the street.,Camine adelante y cruce la calle.
Walk along the sidewalk two blocks.,Camine por la banqueta dos cuadras.
highway,carretera
shopping mall,centro comercial
near,cerca
near/close [to],cerca [de]
cross,cruce
Cross the bridge and go straight.,Cruce el puente y vaya todo derecho.
crosswalk,cruce peatonal
block,cuadra
You are welcome.,De nada.
right,derecha
straight,derecho
after,después de
behind,detrás de
address,dirección
excuse me,disculpe
"Excuse me, can you repeat that?","Disculpe, ¿me puede repetir eso?"
Turn right after the traffic light.,Doble (Gire) a la derecha después del semáforo.
Turn right at the traffic light near the hospital.,Doble (Gire) a la derecha en el semáforo cerca del hospital.
Turn left at the avenue.,Doble (Gire) a la izquierda en la avenida.
Turn left at the corner please.,"Doble (Gire) a la izquierda en la esquina, por favor."
turn,doble (or gire)
building,edificio
The hospital is near the park.,El hospital está cerca del parque.
The place is next to the church.,El lugar está al lado de la iglesia.
The restaurant is on the corner of the plaza.,El restaurante está en la esquina de la plaza.
in front of,enfrente de
school,escuela
corner,esquina
It is in front of the school.,Está enfrente de la escuela.
station,estación
east,este
I am looking for ___,Estoy buscando ___.
roundabout,glorieta
hospital,hospital
hotel,hotel
church,iglesia
intersection,intersección
left,izquierda
The station is next to the bridge.,La estación está al lado del puente.
The church is behind the market.,La iglesia está detrás del mercado.
The store is around the corner.,La tienda está a la vuelta de la esquina.
far,lejos
far [from],lejos [de]
market,mercado
Thank you very much.,Muchas gracias.
museum,museo
"It is not far, only one block.","No está lejos, solo una cuadra."
north,norte
west,oeste
park,parque
plaza,plaza
bridge,puente
restaurant,restaurante
traffic light,semáforo
Continue straight ahead.,Siga todo derecho.
supermarket,supermercado
south,sur
straight ahead,todo derecho
Take the next street on the left.,Tome la siguiente calle a la izquierda.
Go north on this avenue.,Vaya al norte por esta avenida.
Go behind the building.,Vaya detrás del edificio.
Go straight two blocks.,Vaya todo derecho dos cuadras.
