"Title: The Weekend Trip";"El Viaje del Fin de Semana"
"They return to the bus station early.";"Ellos regresan a la estación de autobuses temprano."
"We revisit a town we love.";"Volvemos a visitar un pueblo que nos encanta."
"I finish packing my backpack.";"Termino de empacar mi mochila."
"You play soft music while we wait.";"Tocas música suave mientras esperamos."
"She drinks a hot coffee before leaving.";"Ella toma un café caliente antes de salir."
"The drivers work all morning.";"Los choferes trabajan toda la mañana."
"We use a simple map to plan the day.";"Usamos un mapa sencillo para planear el día."
"Tourists visit the plaza first.";"Los turistas visitan la plaza primero."
"Only one seat remains open on the bus.";"Solo queda un asiento libre en el autobús."
"Later we are going to travel to the next town.";"Más tarde vamos a viajar al siguiente pueblo."
