"Title: Evening At The Small Studio";"Noche En El Estudio Pequeño"
"I develop a new idea for the painting."; "Desarrollo una idea nueva para la pintura."
"You create a soft background color. [sing, formal]"; "Crea un color de fondo suave."
"We decide which brushes to use."; "Decidimos qué pinceles usar."
"They consider adding more light to the room."; "Consideran agregar más luz al cuarto."
"I affect the texture by changing the brush."; "Afecto la textura al cambiar el pincel."
"You accept the suggestion to try blue. [sing, inf]"; "Aceptas la sugerencia de probar el azul."
"We claim the design is improving."; "Afirmamos que el diseño está mejorando."
"They add small details to the canvas."; "Agregan detalles pequeños al lienzo."
"You increase the contrast with darker tones. [pl]"; "Aumentan el contraste con tonos más oscuros."
"We advance slowly but with focus."; "Avanzamos despacio pero con enfoque."
"I warn about a wet corner on the canvas."; "Aviso sobre una esquina mojada del lienzo."
"They download a reference image."; "Bajan una imagen de referencia."
"You base your strokes on the example. [sing, formal]"; "Basa sus trazos en el ejemplo."
"We cause a new effect with the sponge."; "Causamos un nuevo efecto con la esponja."
"They celebrate the progress of the night."; "Celebran el progreso de la noche."
"I quote a tip from the art book."; "Cito un consejo del libro de arte."
"You place the finished canvas on the shelf. [sing, inf]"; "Colocas el lienzo terminado en el estante."
"We comment on the colors we chose."; "Comentamos sobre los colores que elegimos."
"They confirm the final touches."; "Confirman los últimos detalles."
"You answer the artist’s question. [pl]"; "Contestan la pregunta del artista."
"I continue mixing new colors."; "Continúo mezclando colores nuevos."
"We check the brushes before cleaning."; "Controlamos los pinceles antes de limpiarlos."
"They run a quick test on a scrap paper."; "Corren una prueba rápida en un papelito."
"You correspond with another artist online. [sing, formal]"; "Corresponde con otro artista en línea."
"I am going to create a new sketch later."; "Voy a crear un nuevo boceto más tarde."
"They are going to add more texture tomorrow."; "Van a agregar más textura mañana."
"We are going to celebrate the finished piece."; "Vamos a celebrar la pieza terminada."
