"id";"word";"answer"
"1";"Title: The Afternoon Rehearsal Breakdown";"El Colapso del Ensayo Vespertino"
"2";"A stressed actor forgets his opening line.";"Un actor estresado olvida su línea inicial."
"3";"A calm director signals for another attempt.";"Un director sereno señala otro intento."
"4";"An exhausted dancer collapses onto the mat.";"Una bailarina agotada cae sobre la colchoneta."
"5";"A hopeful singer hums softly backstage.";"Un cantante esperanzado tararea suavemente entre bastidores."
"6";"A furious stagehand slams the heavy door.";"Un tramoyista furioso azota la puerta pesada."
"7";"We are going to energize the sleepy cast.";"Vamos a energizar al elenco somnoliento."
"8";"A relaxed violinist adjusts her shoulder rest.";"Una violinista relajada ajusta su soporte de hombro."
"9";"An annoyed drummer taps impatiently on metal.";"Un baterista molesto golpea impaciente el metal."
"10";"A proud coach praises the improved timing.";"Un entrenador orgulloso elogia el tiempo mejorado."
"11";"A tense moment freezes the entire ensemble.";"Un momento tenso congela a todo el conjunto."
"12";"We are going to reassure the embarrassed newcomer.";"Vamos a tranquilizar al recién llegado avergonzado."
"13";"An alert assistant checks the lighting cues.";"Un asistente alerta revisa las señales de iluminación."
"14";"A hopeful melody rises from the piano.";"Una melodía esperanzada surge del piano."
"15";"A bothered violinist adjusts her slipping bow.";"Una violinista fastidiada ajusta su arco resbaloso."
"16";"A sleepy technician leans against the curtain.";"Un técnico somnoliento se recarga en la cortina."
"17";"We are going to relax the stressed performers.";"Vamos a relajar a los artistas estresados."
"18";"An optimistic note brightens the rehearsal mood.";"Una nota optimista ilumina el ambiente del ensayo."
"19";"An offended actor storms off the stage.";"Un actor ofendido sale furioso del escenario."
"20";"A rested singer returns with renewed energy.";"Un cantante descansado regresa con energía renovada."
"21";"I am going to support the hopeless dancer.";"Voy a apoyar a la bailarina desesperada."
